ID,date,away,home,location,url
2021-06-04-DC-NY,2021-06-04,DC Breeze,New York Empire,Joseph F. Fosina Field,https://theaudl.com/stats/game/2021-06-04-DC-NY
2021-06-04-MIN-MAD,2021-06-04,Minnesota Wind Chill,Madison Radicals,Breese Stevens Field,https://theaudl.com/stats/game/2021-06-04-MIN-MAD
2021-06-04-DET-IND,2021-06-04,Detroit Mechanix,Indianapolis AlleyCats,Grand Park,https://theaudl.com/stats/game/2021-06-04-DET-IND
2021-06-04-TB-PHI,2021-06-04,Tampa Bay Cannons,Philadelphia Phoenix,South Philadelphia Super Site,https://theaudl.com/stats/game/2021-06-04-TB-PHI
2021-06-05-SJ-SEA,2021-06-05,San Jose Spiders,Seattle Cascades,Seattle Memorial Stadium,https://theaudl.com/stats/game/2021-06-05-SJ-SEA
2021-06-05-TB-DC,2021-06-05,Tampa Bay Cannons,DC Breeze,"Carlini Field, Catholic U",https://theaudl.com/stats/game/2021-06-05-TB-DC
2021-06-05-BOS-PIT,2021-06-05,Boston Glory,Pittsburgh Thunderbirds,JC Stone Field,https://theaudl.com/stats/game/2021-06-05-BOS-PIT
2021-06-05-SD-LA,2021-06-05,San Diego Growlers,Los Angeles Aviators,LA Southwest College,https://theaudl.com/stats/game/2021-06-05-SD-LA
2021-06-05-IND-CHI,2021-06-05,Indianapolis AlleyCats,Chicago Union,Langhorst Field,https://theaudl.com/stats/game/2021-06-05-IND-CHI
2021-06-05-MAD-DET,2021-06-05,Madison Radicals,Detroit Mechanix,Grand Rapids Christian HS,https://theaudl.com/stats/game/2021-06-05-MAD-DET
2021-06-05-RAL-ATL,2021-06-05,Raleigh Flyers,Atlanta Hustle,St Pius HS Field,https://theaudl.com/stats/game/2021-06-05-RAL-ATL
2021-06-11-ATL-BOS,2021-06-11,Atlanta Hustle,Boston Glory,Hormel Stadium,https://theaudl.com/stats/game/2021-06-11-ATL-BOS
2021-06-12-MIN-CHI,2021-06-12,Minnesota Wind Chill,Chicago Union,Langhorst Field,https://theaudl.com/stats/game/2021-06-12-MIN-CHI
2021-06-12-DC-RAL,2021-06-12,DC Breeze,Raleigh Flyers,Durham County Stadium,https://theaudl.com/stats/game/2021-06-12-DC-RAL
2021-06-12-PIT-TB,2021-06-12,Pittsburgh Thunderbirds,Tampa Bay Cannons,Campbell Park ,https://theaudl.com/stats/game/2021-06-12-PIT-TB
2021-06-12-SEA-SJ,2021-06-12,Seattle Cascades,San Jose Spiders, Oakland Technical High School,https://theaudl.com/stats/game/2021-06-12-SEA-SJ
2021-06-12-DAL-AUS,2021-06-12,Dallas Roughnecks,Austin Sol,Chaparral Stadium,https://theaudl.com/stats/game/2021-06-12-DAL-AUS
2021-06-12-DET-IND,2021-06-12,Detroit Mechanix,Indianapolis AlleyCats,Grand Park,https://theaudl.com/stats/game/2021-06-12-DET-IND
2021-06-13-LA-SD,2021-06-13,Los Angeles Aviators,San Diego Growlers,Mission Bay,https://theaudl.com/stats/game/2021-06-13-LA-SD
2021-06-18-NY-PIT,2021-06-18,New York Empire,Pittsburgh Thunderbirds,JC Stone Field,https://theaudl.com/stats/game/2021-06-18-NY-PIT
2021-06-18-SD-SJ,2021-06-18,San Diego Growlers,San Jose Spiders, Oakland Technical High School,https://theaudl.com/stats/game/2021-06-18-SD-SJ
2021-06-18-MAD-MIN,2021-06-18,Madison Radicals,Minnesota Wind Chill,Sea Foam Stadium,https://theaudl.com/stats/game/2021-06-18-MAD-MIN
2021-06-18-BOS-DC,2021-06-18,Boston Glory,DC Breeze,"Carlini Field, Catholic U",https://theaudl.com/stats/game/2021-06-18-BOS-DC
2021-06-18-LA-DAL,2021-06-18,Los Angeles Aviators,Dallas Roughnecks, John Paul II High School,https://theaudl.com/stats/game/2021-06-18-LA-DAL
2021-06-19-BOS-RAL,2021-06-19,Boston Glory,Raleigh Flyers,Durham County Stadium,https://theaudl.com/stats/game/2021-06-19-BOS-RAL
2021-06-19-CHI-DET,2021-06-19,Chicago Union,Detroit Mechanix,Grand Rapids Christian HS,https://theaudl.com/stats/game/2021-06-19-CHI-DET
2021-06-19-ATL-TB,2021-06-19,Atlanta Hustle,Tampa Bay Cannons,Campbell Park ,https://theaudl.com/stats/game/2021-06-19-ATL-TB
