Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Matt Smith,13,30,2.31,29,2.23,7,0.54,57,4.38,297,22.85,97.7,270,20.77,0,0,0,0
Daniel Sperling,7,19,2.71,7,1.0,4,0.57,25,3.57,68,9.71,97.1,136,19.43,0,0,0,0
Christian Olsen,12,18,1.5,30,2.5,9,0.75,40,3.33,295,24.58,95.5,276,23.0,0,0,0,0
Kelvin Williams,13,21,1.62,2,0.15,18,1.38,40,3.08,40,3.08,100.0,249,19.15,0,0,0,0
Hunter Cutts,1,3,3.0,0,0.0,0,0.0,3,3.0,4,4.0,100.0,12,12.0,0,0,0,0
JP Burns,13,31,2.38,18,1.38,8,0.62,39,3.0,163,12.54,92.1,242,18.62,0,0,0,0
Parker Bray,13,16,1.23,41,3.15,11,0.85,38,2.92,217,16.69,88.6,255,19.62,0,0,0,0
Josh Bush,13,25,1.92,13,1.0,11,0.85,37,2.85,113,8.69,91.9,253,19.46,0,0,0,0
Tyler French,7,12,1.71,3,0.43,5,0.71,17,2.43,20,2.86,90.9,100,14.29,0,0,0,0
Anders Olsen,3,10,3.33,2,0.67,0,0.0,7,2.33,32,10.67,88.9,54,18.0,0,0,0,0
Allan Laviolette,4,4,1.0,7,1.75,2,0.5,9,2.25,51,12.75,92.7,81,20.25,0,0,0,0
Will Lindquist,8,13,1.63,5,0.63,3,0.38,18,2.25,31,3.88,93.9,126,15.75,0,0,0,0
Devon Rogers,7,8,1.14,4,0.57,4,0.57,15,2.14,22,3.14,100.0,108,15.43,0,0,0,0
Sam Batson,8,18,2.25,0,0.0,2,0.25,17,2.13,28,3.5,90.3,128,16.0,0,0,0,0
Kyle Stapleton,12,3,0.25,24,2.0,6,0.5,21,1.75,306,25.5,96.2,231,19.25,0,0,0,0
Danny On,10,9,0.9,9,0.9,1,0.1,17,1.7,89,8.9,97.8,157,15.7,0,0,0,0
Matthew Knowles,10,4,0.4,11,1.1,3,0.3,16,1.6,117,11.7,98.3,162,16.2,0,0,0,0
Taylor Minch,12,11,0.92,11,0.92,5,0.42,19,1.58,125,10.42,94.7,217,18.08,0,0,0,0
Carter Rae,4,4,1.0,4,1.0,0,0.0,6,1.5,24,6.0,92.3,60,15.0,0,0,0,0
Josh Turner,6,4,0.67,3,0.5,5,0.83,9,1.5,57,9.5,96.6,91,15.17,0,0,0,0
Karl Ekwurtzel,2,3,1.5,0,0.0,1,0.5,3,1.5,9,4.5,90.0,20,10.0,0,0,0,0
Mason Cary,7,9,1.29,2,0.29,0,0.0,9,1.29,37,5.29,97.4,111,15.86,0,0,0,0
Sam Gainer,10,8,0.8,11,1.1,1,0.1,10,1.0,98,9.8,91.6,191,19.1,0,0,0,0
Sun Choi,13,5,0.38,17,1.31,5,0.38,12,0.92,215,16.54,94.7,209,16.08,0,0,0,0
Player Pierce,12,3,0.25,18,1.5,7,0.58,11,0.92,208,17.33,92.4,241,20.08,0,0,0,0
Jacques Perivier,10,5,0.5,12,1.2,0,0.0,9,0.9,172,17.2,95.6,155,15.5,0,0,0,0
Jaime Perez,6,3,0.5,3,0.5,0,0.0,5,0.83,33,5.5,97.1,82,13.67,0,0,0,0
Austin Taylor,13,5,0.38,19,1.46,2,0.15,9,0.69,333,25.62,96.5,290,22.31,0,0,0,0
Mike Tillotson,6,3,0.5,0,0.0,2,0.33,4,0.67,8,1.33,100.0,78,13.0,0,0,0,0
Trenton Spinks,12,2,0.17,6,0.5,9,0.75,7,0.58,81,6.75,94.2,197,16.42,0,0,0,0
Yusuf Abdullah,2,1,0.5,1,0.5,0,0.0,1,0.5,11,5.5,100.0,33,16.5,0,0,0,0
Jason Crowe,3,0,0.0,0,0.0,0,0.0,0,0.0,8,2.67,100.0,34,11.33,0,0,0,0
Adam Burgess,2,0,0.0,0,0.0,0,0.0,-1,-0.5,6,3.0,85.7,18,9.0,0,0,0,0
Patrick Dougherty,1,0,0.0,1,1.0,0,0.0,-1,-1.0,16,16.0,88.9,10,10.0,0,0,0,0
Andrell Caldwell,1,0,0.0,0,0.0,0,0.0,-3,-3.0,10,10.0,83.3,8,8.0,0,0,0,0
