Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Austin Taylor,10,15,1.5,42,4.2,2,0.2,41,4.1,327,32.7,95.6,191,19.1,1330,133,3391,339
Matt Smith,10,29,2.9,12,1.2,5,0.5,40,4.0,160,16.0,97.0,186,18.6,2059,206,1109,111
Antoine Davis,10,26,2.6,22,2.2,5,0.5,39,3.9,145,14.5,94.2,206,20.6,2283,228,1136,114
John Stubbs,6,6,1.0,21,3.5,3,0.5,22,3.67,92,15.33,92.9,103,17.17,659,110,1201,200
Elijah Jaime,11,37,3.36,8,0.73,2,0.18,39,3.55,75,6.82,94.9,183,16.64,2079,189,251,23
Dylan Tunnell,2,2,1.0,6,3.0,1,0.5,7,3.5,43,21.5,95.6,32,16.0,116,58,496,248
Brett Hulsmeyer,10,9,0.9,5,0.5,23,2.3,31,3.1,93,9.3,94.9,175,17.5,691,69,449,45
Hayden Austin-Knab,3,5,1.67,6,2.0,0,0.0,8,2.67,41,13.67,93.2,43,14.33,393,131,233,78
Parker Bray,9,13,1.44,31,3.44,3,0.33,23,2.56,228,25.33,91.9,172,19.11,1264,140,2433,270
Karl Ekwurtzel,10,16,1.6,8,0.8,4,0.4,24,2.4,80,8.0,97.6,126,12.6,1378,138,415,42
Will Lindquist,4,5,1.25,5,1.25,1,0.25,9,2.25,30,7.5,93.8,54,13.5,555,139,337,84
Daniel Sperling,1,1,1.0,0,0.0,1,1.0,2,2.0,0,0.0,0.0,14,14.0,49,49,0,0
Michael Fairley,9,8,0.89,10,1.11,7,0.78,18,2.0,108,12.0,93.9,134,14.89,396,44,926,103
Sam Gainer,1,2,2.0,2,2.0,0,0.0,2,2.0,7,7.0,77.8,14,14.0,186,186,75,75
Sun Choi,1,1,1.0,0,0.0,2,2.0,2,2.0,2,2.0,66.7,12,12.0,19,19,12,12
Devon Rogers,1,2,2.0,1,1.0,0,0.0,2,2.0,9,9.0,90.0,11,11.0,196,196,65,65
Dean Ramsey,6,5,0.83,2,0.33,4,0.67,11,1.83,15,2.5,100.0,72,12.0,313,52,118,20
Jakeem Polk,10,4,0.4,5,0.5,10,1.0,15,1.5,25,2.5,96.2,157,15.7,410,41,152,15
JP Burns,9,8,0.89,8,0.89,4,0.44,13,1.44,39,4.33,88.6,104,11.56,575,64,386,43
Tanner Robinson,9,6,0.67,8,0.89,6,0.67,13,1.44,102,11.33,94.4,123,13.67,480,53,809,90
Kelvin Williams,10,4,0.4,0,0.0,11,1.1,14,1.4,20,2.0,100.0,147,14.7,255,26,129,13
Kennith Taylor,10,6,0.6,4,0.4,6,0.6,13,1.3,16,1.6,88.9,119,11.9,404,40,143,14
Chris Calhoun,1,0,0.0,0,0.0,1,1.0,1,1.0,2,2.0,100.0,15,15.0,0,0,23,23
Fletcher Hare,1,0,0.0,0,0.0,1,1.0,1,1.0,2,2.0,100.0,11,11.0,18,18,16,16
Adnan Raslan,3,0,0.0,1,0.33,2,0.67,3,1.0,8,2.67,100.0,33,11.0,28,9,99,33
Zachary Cole,2,1,0.5,2,1.0,0,0.0,1,0.5,25,12.5,92.6,28,14.0,21,11,120,60
Christian Gaeta,2,1,0.5,0,0.0,1,0.5,1,0.5,2,1.0,66.7,26,13.0,73,37,1,1
Jeffrey Oravic,2,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0.0,20,10.0,20,10,0,0
Christian Olsen,7,7,1.0,1,0.14,3,0.43,3,0.43,71,10.14,92.2,108,15.43,206,29,428,61
Player Pierce,5,3,0.6,7,1.4,0,0.0,2,0.4,124,24.8,93.9,85,17.0,248,50,986,197
Trenton Spinks,7,1,0.14,0,0.0,1,0.14,2,0.29,14,2.0,100.0,99,14.14,140,20,88,13
Adam Miller,8,0,0.0,3,0.38,2,0.25,2,0.25,45,5.63,93.8,92,11.5,96,12,414,52
Ben Gagne-Maynard,9,1,0.11,1,0.11,2,0.22,0,0.0,21,2.33,84.0,111,12.33,317,35,2,0
Jon Fey,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,11,11.0,0,0,0,0
Sam Diffin,1,0,0.0,0,0.0,1,1.0,0,0.0,24,24.0,100.0,18,18.0,73,73,138,138
Mac McClellan,1,0,0.0,0,0.0,0,0.0,0,0.0,24,24.0,100.0,11,11.0,-26,-26,218,218
Madison Head,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,10,10.0,31,31,13,13
Matthew Knowles,7,0,0.0,3,0.43,1,0.14,0,0.0,30,4.29,88.2,86,12.29,74,11,208,30
Jacques Perivier,1,1,1.0,1,1.0,0,0.0,0,0.0,42,42.0,97.7,21,21.0,102,102,202,202
Tyler French,3,0,0.0,0,0.0,0,0.0,-1,-0.33,2,0.67,66.7,34,11.33,22,7,8,3
Sam Batson,1,0,0.0,0,0.0,0,0.0,-1,-1.0,1,1.0,50.0,11,11.0,21,21,8,8
Tyler Kunsa,5,0,0.0,1,0.2,1,0.2,-7,-1.4,116,23.2,92.8,74,14.8,347,69,748,150
