Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Kyle Henke,10,24,2.4,31,3.1,7,0.7,41,4.1,197,19.7,92.5,222,22.2,0,0,0,0
Ethan Pollack,9,31,3.44,14,1.56,2,0.22,36,4.0,130,14.44,94.2,177,19.67,0,0,0,0
Mick Walter,8,15,1.88,2,0.25,16,2.0,30,3.75,26,3.25,89.7,127,15.88,0,0,0,0
Andrew Walch,10,16,1.6,12,1.2,5,0.5,27,2.7,155,15.5,98.1,201,20.1,0,0,0,0
Jerrod Wolfe,5,8,1.6,9,1.8,2,0.4,12,2.4,42,8.4,87.5,98,19.6,0,0,0,0
Joshua Zdrodowski,6,9,1.5,6,1.0,2,0.33,14,2.33,36,6.0,100.0,81,13.5,0,0,0,0
Rory Orloff,8,23,2.88,5,0.63,1,0.13,18,2.25,103,12.88,92.8,161,20.13,0,0,0,0
Michael Matthis,10,13,1.3,13,1.3,5,0.5,22,2.2,97,9.7,94.2,201,20.1,0,0,0,0
Chase Cunningham,1,0,0.0,2,2.0,0,0.0,2,2.0,8,8.0,100.0,9,9.0,0,0,0,0
Elliott Moore,9,8,0.89,7,0.78,5,0.56,16,1.78,50,5.56,98.0,135,15.0,0,0,0,0
Zachary Cotter,3,1,0.33,0,0.0,4,1.33,5,1.67,3,1.0,100.0,29,9.67,0,0,0,0
Ryan Purcell,8,7,0.88,15,1.88,5,0.63,12,1.5,167,20.88,92.8,131,16.38,0,0,0,0
Mason Wuensch,8,6,0.75,1,0.13,7,0.88,11,1.38,22,2.75,95.7,109,13.63,0,0,0,0
Jason Holleran,9,9,1.0,6,0.67,2,0.22,9,1.0,109,12.11,93.2,150,16.67,0,0,0,0
Mike Cramer,2,2,1.0,0,0.0,0,0.0,2,1.0,2,1.0,100.0,30,15.0,0,0,0,0
Mutahir Ahmad,5,7,1.4,4,0.8,0,0.0,5,1.0,121,24.2,96.0,91,18.2,0,0,0,0
Eric Brodbeck,6,3,0.5,1,0.17,2,0.33,5,0.83,10,1.67,90.9,64,10.67,0,0,0,0
Jimmy Zuraw,8,4,0.5,8,1.0,4,0.5,5,0.63,118,14.75,92.9,128,16.0,0,0,0,0
Doug Richardson,9,3,0.33,5,0.56,5,0.56,5,0.56,89,9.89,93.7,127,14.11,0,0,0,0
Jeff Loskorn,7,4,0.57,16,2.29,4,0.57,3,0.43,252,36.0,93.0,159,22.71,0,0,0,0
Paul Starkel,5,1,0.2,9,1.8,2,0.4,2,0.4,176,35.2,94.6,100,20.0,0,0,0,0
Brian Gfroerer,11,5,0.45,1,0.09,7,0.64,4,0.36,42,3.82,85.7,162,14.73,0,0,0,0
Mitchell Bennett,3,2,0.67,2,0.67,1,0.33,1,0.33,22,7.33,91.7,52,17.33,0,0,0,0
Carter Hollo,9,11,1.22,5,0.56,0,0.0,2,0.22,68,7.56,86.1,172,19.11,0,0,0,0
John Cecil,9,3,0.33,1,0.11,3,0.33,2,0.22,18,2.0,90.0,114,12.67,0,0,0,0
Austin Walker,5,0,0.0,3,0.6,2,0.4,1,0.2,23,4.6,85.2,61,12.2,0,0,0,0
Corey Mika,7,2,0.29,2,0.29,1,0.14,1,0.14,6,0.86,75.0,73,10.43,0,0,0,0
Brandon Dial,7,0,0.0,3,0.43,2,0.29,1,0.14,19,2.71,90.5,72,10.29,0,0,0,0
Reese Bowman,4,2,0.5,0,0.0,0,0.0,0,0.0,13,3.25,86.7,44,11.0,0,0,0,0
Matthew Bierschenk,8,2,0.25,2,0.25,0,0.0,0,0.0,35,4.38,89.7,87,10.88,0,0,0,0
Derek Fan,4,0,0.0,1,0.25,0,0.0,0,0.0,14,3.5,93.3,47,11.75,0,0,0,0
Keivaun Waugh,7,2,0.29,6,0.86,1,0.14,-2,-0.29,218,31.14,96.0,146,20.86,0,0,0,0
Robert Lewis,12,4,0.33,9,0.75,1,0.08,-6,-0.5,147,12.25,89.1,183,15.25,0,0,0,0
Matt Bennett,8,1,0.13,25,3.13,4,0.5,-6,-0.75,230,28.75,86.5,175,21.88,0,0,0,0
