Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Eric Brodbeck,11,28,2.55,26,2.36,10,0.91,47,4.27,267,24.27,95.0,210,19.09,2033,185,1913,174
Evan Swiatek,9,34,3.78,13,1.44,8,0.89,30,3.33,184,20.44,90.2,180,20.0,2493,277,663,74
Vinay Valsaraj,11,27,2.45,18,1.64,10,0.91,35,3.18,154,14.0,91.7,206,18.73,2263,206,837,76
Shane Heath,9,16,1.78,17,1.89,2,0.22,28,3.11,106,11.78,94.6,142,15.78,1198,133,774,86
Hayden Stone,11,15,1.36,19,1.73,4,0.36,30,2.73,150,13.64,96.2,228,20.73,1426,130,894,81
Joey Wylie,11,17,1.55,12,1.09,12,1.09,29,2.64,99,9.0,90.8,212,19.27,1445,131,465,42
Connor DeLuna,10,18,1.8,1,0.1,6,0.6,25,2.5,13,1.3,100.0,139,13.9,624,62,70,7
John Cecil,5,3,0.6,10,2.0,3,0.6,11,2.2,51,10.2,94.4,82,16.4,615,123,247,49
Chris Layden,1,0,0.0,0,0.0,2,2.0,2,2.0,9,9.0,100.0,11,11.0,26,26,59,59
Mick Walter,11,5,0.45,6,0.55,16,1.45,21,1.91,102,9.27,96.2,172,15.64,562,51,878,80
Jeremy Keusch,10,7,0.7,5,0.5,11,1.1,18,1.8,95,9.5,95.0,170,17.0,696,70,556,56
Elliott Moore,9,9,1.0,12,1.33,10,1.11,16,1.78,104,11.56,88.9,151,16.78,824,92,815,91
Zach Slayton,11,15,1.36,6,0.55,9,0.82,18,1.64,129,11.73,94.9,194,17.64,825,75,697,63
Brandon Dial,2,2,1.0,0,0.0,1,0.5,3,1.5,3,1.5,100.0,15,7.5,90,45,-20,-10
Reese Bowman,11,5,0.45,10,0.91,9,0.82,14,1.27,149,13.55,94.9,213,19.36,489,44,819,74
Jacob Sames,10,7,0.7,8,0.8,6,0.6,12,1.2,281,28.1,97.9,167,16.7,803,80,1523,152
Brian Street,1,0,0.0,1,1.0,1,1.0,1,1.0,11,11.0,91.7,15,15.0,39,39,114,114
Joe Sefton,7,5,0.71,10,1.43,0,0.0,7,1.0,153,21.86,95.6,109,15.57,536,77,1036,148
Jake Worthington,7,3,0.43,0,0.0,4,0.57,7,1.0,21,3.0,100.0,78,11.14,349,50,75,11
Brian Gfroerer,7,4,0.57,1,0.14,3,0.43,6,0.86,19,2.71,90.5,74,10.57,210,30,87,12
Alex Heath,6,0,0.0,5,0.83,2,0.33,5,0.83,39,6.5,95.1,64,10.67,127,21,336,56
Jackson Potts,5,2,0.4,3,0.6,0,0.0,4,0.8,14,2.8,93.3,59,11.8,146,29,150,30
Matt Chambers,5,2,0.4,3,0.6,3,0.6,4,0.8,52,10.4,94.5,57,11.4,216,43,216,43
Robert Lewis,10,3,0.3,2,0.2,3,0.3,4,0.4,65,6.5,94.2,102,10.2,-63,-6,306,31
Paul Starkel,11,5,0.45,23,2.09,2,0.18,4,0.36,373,33.91,94.2,188,17.09,424,39,2459,224
Max Grove,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1.0,0,0,0,0
Nash Mock,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,7,7.0,2,2,-3,-3
Matt Bennett,8,1,0.13,13,1.63,4,0.5,-1,-0.13,156,19.5,89.1,142,17.75,87,11,1215,152
Ryan Purcell,3,0,0.0,5,1.67,0,0.0,-3,-1.0,91,30.33,91.9,46,15.33,-44,-15,651,217
John Clyde,6,1,0.17,4,0.67,3,0.5,-8,-1.33,65,10.83,80.2,87,14.5,-109,-18,490,82
