Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Tanner Halkyard,6,22,3.67,21,3.5,9,1.5,42,7.0,97,16.17,93.3,142,23.67,1734,289,734,122
Topher Davis,2,9,4.5,5,2.5,1,0.5,13,6.5,26,13.0,96.3,40,20.0,441,221,304,152
Benjamin Sadok,7,21,3.0,27,3.86,1,0.14,31,4.43,323,46.14,94.7,170,24.29,1766,252,2494,356
Gustav Haflin,7,12,1.71,7,1.0,8,1.14,25,3.57,39,5.57,97.5,141,20.14,627,90,245,35
Chris Bartoli,5,11,2.2,2,0.4,6,1.2,16,3.2,9,1.8,81.8,95,19.0,422,84,73,15
Tannor Johnson,1,3,3.0,2,2.0,0,0.0,3,3.0,19,19.0,90.5,19,19.0,257,257,128,128
Josh Markette,2,4,2.0,4,2.0,0,0.0,6,3.0,43,21.5,97.7,33,16.5,236,118,229,115
Nick Thompson,5,14,2.8,2,0.4,2,0.4,15,3.0,57,11.4,96.6,90,18.0,870,174,319,64
Henry Babcock,7,9,1.29,20,2.86,2,0.29,20,2.86,245,35.0,95.7,153,21.86,975,139,1709,244
Cole Davis-Brand,2,1,0.5,4,2.0,1,0.5,4,2.0,26,13.0,92.9,31,15.5,123,62,236,118
Orion Cable,3,7,2.33,2,0.67,2,0.67,6,2.0,35,11.67,92.1,64,21.33,660,220,198,66
Nick Patel,1,2,2.0,1,1.0,1,1.0,2,2.0,11,11.0,84.6,22,22.0,98,98,107,107
Ryan Turner,2,3,1.5,3,1.5,0,0.0,4,2.0,14,7.0,93.3,36,18.0,176,88,49,25
Willie Stewart,7,6,0.86,9,1.29,3,0.43,13,1.86,140,20.0,96.6,166,23.71,734,105,1023,146
Brendan McCann,5,4,0.8,7,1.4,4,0.8,9,1.8,75,15.0,92.6,111,22.2,404,81,493,99
Ian Engler,4,3,0.75,8,2.0,1,0.25,7,1.75,161,40.25,97.0,83,20.75,698,175,1292,323
Braden Eberhard,4,5,1.25,3,0.75,2,0.5,7,1.75,54,13.5,98.2,75,18.75,178,45,376,94
Dean Bullock,7,5,0.71,0,0.0,9,1.29,12,1.71,16,2.29,88.9,119,17.0,401,57,74,11
Eugene L'Heureux,7,3,0.43,6,0.86,4,0.57,11,1.57,34,4.86,94.4,97,13.86,320,46,405,58
Ryan Woodhouse,7,1,0.14,1,0.14,7,1.0,8,1.14,11,1.57,91.7,89,12.71,165,24,62,9
Ivan Tran,6,3,0.5,2,0.33,1,0.17,6,1.0,12,2.0,100.0,87,14.5,136,23,63,11
Pat Barron,3,2,0.67,1,0.33,1,0.33,3,1.0,17,5.67,100.0,50,16.67,133,44,65,22
Brian Wyer,1,0,0.0,0,0.0,2,2.0,1,1.0,4,4.0,100.0,14,14.0,39,39,3,3
Cole Moore,5,1,0.2,8,1.6,1,0.2,4,0.8,36,7.2,87.8,81,16.2,432,86,275,55
Ethan Fortin,4,2,0.5,2,0.5,3,0.75,3,0.75,28,7.0,87.5,64,16.0,149,37,157,39
Jake Taylor,4,3,0.75,3,0.75,1,0.25,3,0.75,50,12.5,92.6,46,11.5,109,27,461,115
Ilya Yudkovich,7,3,0.43,8,1.14,2,0.29,5,0.71,96,13.71,95.0,135,19.29,162,23,628,90
Jonah Kurman-Faber,7,4,0.57,6,0.86,0,0.0,4,0.57,77,11.0,92.8,115,16.43,319,46,497,71
Mike Miller,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,5.0,0,0,0,0
Michael Dillard,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,9,9.0,-5,-5,17,17
Noah Backer,1,1,1.0,0,0.0,1,1.0,0,0.0,14,14.0,87.5,14,14.0,29,29,137,137
Alex Donadio,2,0,0.0,0,0.0,0,0.0,-1,-0.5,5,2.5,83.3,22,11.0,8,4,5,3
Kuochuan Ponzio,2,0,0.0,0,0.0,0,0.0,-1,-0.5,4,2.0,80.0,25,12.5,23,12,10,5
Maxwell Rick,3,0,0.0,0,0.0,0,0.0,-2,-0.67,6,2.0,75.0,28,9.33,41,14,14,5
Jay Talerman,1,0,0.0,0,0.0,0,0.0,-1,-1.0,1,1.0,100.0,2,2.0,1,1,-5,-5
Alex Donadio,1,0,0.0,0,0.0,0,0.0,-1,-1.0,2,2.0,66.7,19,19.0,16,16,-5,-5
