Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Michael Pardo,14,70,5.0,17,1.21,21,1.5,74,5.29,208,14.86,90.4,341,24.36,0,0,0,0
Jeff Weis,11,20,1.82,10,0.91,17,1.55,36,3.27,138,12.55,93.9,243,22.09,0,0,0,0
CJ O'Brien,14,15,1.07,17,1.21,10,0.71,28,2.0,121,8.64,91.0,228,16.29,0,0,0,0
Eric Johnson,14,26,1.86,8,0.57,8,0.57,27,1.93,156,11.14,95.1,293,20.93,0,0,0,0
Nick Zeman,9,9,1.0,4,0.44,8,0.89,14,1.56,38,4.22,86.4,137,15.22,0,0,0,0
Karl Kingma,6,4,0.67,4,0.67,4,0.67,9,1.5,25,4.17,89.3,93,15.5,0,0,0,0
Pawel Janas,14,9,0.64,85,6.07,8,0.57,21,1.5,933,66.64,92.7,397,28.36,0,0,0,0
Dan Vockeroth,11,9,0.82,2,0.18,8,0.73,16,1.45,54,4.91,96.4,155,14.09,0,0,0,0
Michael Egan,11,12,1.09,1,0.09,5,0.45,15,1.36,43,3.91,95.6,116,10.55,0,0,0,0
Danny Miller,12,17,1.42,15,1.25,4,0.33,14,1.17,180,15.0,90.5,240,20.0,0,0,0,0
Alex Rummelhart,12,16,1.33,7,0.58,5,0.42,14,1.17,192,16.0,95.0,228,19.0,0,0,0,0
Alex Champe,10,10,1.0,15,1.5,9,0.9,11,1.1,126,12.6,86.3,169,16.9,0,0,0,0
Von Alanguilan,11,5,0.45,4,0.36,10,0.91,12,1.09,81,7.36,97.6,176,16.0,0,0,0,0
Brian Rathunde,6,3,0.5,3,0.5,1,0.17,6,1.0,13,2.17,92.9,63,10.5,0,0,0,0
Bill Kluender,10,7,0.7,3,0.3,7,0.7,9,0.9,36,3.6,85.7,122,12.2,0,0,0,0
Jack Shey,6,3,0.5,3,0.5,2,0.33,5,0.83,40,6.67,97.6,107,17.83,0,0,0,0
Tommy Gallagher,6,4,0.67,7,1.17,3,0.5,5,0.83,176,29.33,95.1,116,19.33,0,0,0,0
Drew Levorsen,3,0,0.0,1,0.33,1,0.33,2,0.67,3,1.0,100.0,12,4.0,0,0,0,0
Judah Newman,9,4,0.44,7,0.78,2,0.22,3,0.33,101,11.22,94.4,149,16.56,0,0,0,0
Jeff Zhao,9,6,0.67,12,1.33,3,0.33,3,0.33,179,19.89,91.3,157,17.44,0,0,0,0
James Sykora,12,4,0.33,4,0.33,5,0.42,2,0.17,83,6.92,91.2,175,14.58,0,0,0,0
David Woods,11,4,0.36,7,0.64,3,0.27,0,0.0,237,21.55,95.6,192,17.45,0,0,0,0
Neal Phelps,10,1,0.1,2,0.2,4,0.4,-1,-0.1,111,11.1,94.9,141,14.1,0,0,0,0
Jimmy Robin,9,1,0.11,4,0.44,3,0.33,-3,-0.33,60,6.67,87.0,112,12.44,0,0,0,0
Max Trotter,14,6,0.43,11,0.79,6,0.43,-6,-0.43,592,42.29,96.1,302,21.57,0,0,0,0
Trent Kuhl,12,0,0.0,11,0.92,2,0.17,-16,-1.33,199,16.58,89.2,194,16.17,0,0,0,0
