Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Matt Kerrigan,11,37,3.36,33,3.0,12,1.09,61,5.55,278,25.27,93.9,267,24.27,0,0,0,0
David Boylan-Kolchin,9,25,2.78,17,1.89,9,1.0,41,4.56,120,13.33,92.3,196,21.78,0,0,0,0
Andrew Allen,12,15,1.25,6,0.5,20,1.67,38,3.17,36,3.0,94.7,186,15.5,0,0,0,0
Mark Flores,14,23,1.64,19,1.36,8,0.57,32,2.29,118,8.43,90.1,201,14.36,0,0,0,0
Bryant Dean,11,15,1.36,1,0.09,11,1.0,21,1.91,26,2.36,83.9,147,13.36,0,0,0,0
Glenn Poole,12,14,1.17,27,2.25,3,0.25,22,1.83,205,17.08,91.5,256,21.33,0,0,0,0
Antoine Davis,5,4,0.8,3,0.6,6,1.2,8,1.6,16,3.2,84.2,52,10.4,0,0,0,0
Troy Holland,7,7,1.0,5,0.71,6,0.86,11,1.57,41,5.86,89.1,107,15.29,0,0,0,0
Mike Moses,14,10,0.71,6,0.43,11,0.79,22,1.57,42,3.0,91.3,184,13.14,0,0,0,0
Nico Lake,10,14,1.4,13,1.3,2,0.2,15,1.5,306,30.6,96.2,223,22.3,0,0,0,0
Brad Scott,11,12,1.09,10,0.91,12,1.09,16,1.45,79,7.18,81.4,225,20.45,0,0,0,0
Jon Pressimone,12,19,1.58,11,0.92,6,0.5,17,1.42,101,8.42,84.9,237,19.75,0,0,0,0
Clay Collins,4,4,1.0,3,0.75,1,0.25,5,1.25,31,7.75,96.9,64,16.0,0,0,0,0
David Berg,12,15,1.25,27,2.25,5,0.42,15,1.25,221,18.42,87.7,246,20.5,0,0,0,0
Daniel Selwyn,14,2,0.14,24,1.71,12,0.86,17,1.21,203,14.5,91.9,302,21.57,0,0,0,0
Kyle Khalifa,6,3,0.5,5,0.83,2,0.33,7,1.17,20,3.33,90.9,55,9.17,0,0,0,0
Chip Cobb,13,19,1.46,9,0.69,8,0.62,15,1.15,58,4.46,80.6,220,16.92,0,0,0,0
Ben Feng,13,10,0.77,16,1.23,15,1.15,13,1.0,210,16.15,90.9,279,21.46,0,0,0,0
Peter Mancini,9,2,0.22,5,0.56,3,0.33,8,0.89,60,6.67,98.4,123,13.67,0,0,0,0
AJ Jacoski,8,5,0.63,4,0.5,5,0.63,7,0.88,33,4.13,86.8,124,15.5,0,0,0,0
Zach Branson,8,2,0.25,8,1.0,2,0.25,5,0.63,109,13.63,96.5,110,13.75,0,0,0,0
Leo Pepper,10,7,0.7,4,0.4,1,0.1,6,0.6,103,10.3,96.3,150,15.0,0,0,0,0
Anthony McLean,9,9,1.0,4,0.44,3,0.33,5,0.56,65,7.22,87.8,131,14.56,0,0,0,0
Matthew Radhe,11,6,0.55,7,0.64,1,0.09,6,0.55,71,6.45,91.0,207,18.82,0,0,0,0
Russell Howd,4,4,1.0,1,0.25,3,0.75,2,0.5,32,8.0,91.4,59,14.75,0,0,0,0
Peter Anderson,3,2,0.67,1,0.33,2,0.67,1,0.33,13,4.33,76.5,34,11.33,0,0,0,0
Francisco Hazera,5,3,0.6,1,0.2,0,0.0,0,0.0,24,4.8,85.7,70,14.0,0,0,0,0
Jim Boley,9,2,0.22,2,0.22,2,0.22,-1,-0.11,41,4.56,87.2,129,14.33,0,0,0,0
Jarnail Bajwa,12,8,0.67,26,2.17,5,0.42,-5,-0.42,467,38.92,91.7,277,23.08,0,0,0,0
Seth Collins,5,3,0.6,3,0.6,3,0.6,-6,-1.2,53,10.6,79.1,83,16.6,0,0,0,0
