Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jeff Wodatch,15,45,3.0,37,2.47,11,0.73,66,4.4,284,18.93,93.1,350,23.33,0,0,0,0
Markham Shofner,12,18,1.5,38,3.17,13,1.08,49,4.08,251,20.92,93.3,268,22.33,0,0,0,0
Alan Kolick,11,23,2.09,28,2.55,12,1.09,41,3.73,269,24.45,93.7,281,25.55,0,0,0,0
Tom Doi,7,22,3.14,17,2.43,4,0.57,25,3.57,105,15.0,88.2,142,20.29,0,0,0,0
Rowan McDonnell,14,25,1.79,27,1.93,22,1.57,47,3.36,196,14.0,88.7,346,24.71,0,0,0,0
Matt Kerrigan,15,27,1.8,30,2.0,6,0.4,49,3.27,240,16.0,96.0,263,17.53,0,0,0,0
Jonathan Helton,8,17,2.13,24,3.0,5,0.63,25,3.13,146,18.25,90.1,178,22.25,0,0,0,0
David Cranston,10,16,1.6,9,0.9,11,1.1,27,2.7,101,10.1,92.7,201,20.1,0,0,0,0
Nicky Spiva,11,5,0.45,33,3.0,21,1.91,28,2.55,229,20.82,88.1,262,23.82,0,0,0,0
Chuck Cantone,16,25,1.56,10,0.63,17,1.06,40,2.5,117,7.31,94.4,269,16.81,0,0,0,0
Brian Marshall,13,20,1.54,5,0.38,15,1.15,32,2.46,80,6.15,95.2,283,21.77,0,0,0,0
Tyler Monroe,11,19,1.73,15,1.36,6,0.55,25,2.27,237,21.55,94.8,185,16.82,0,0,0,0
Brad Scott,11,16,1.45,9,0.82,10,0.91,25,2.27,64,5.82,87.7,254,23.09,0,0,0,0
Jon Pressimone,8,11,1.38,4,0.5,5,0.63,15,1.88,24,3.0,88.9,123,15.38,0,0,0,0
AJ Jacoski,13,10,0.77,9,0.69,10,0.77,24,1.85,74,5.69,93.7,207,15.92,0,0,0,0
Max Cassell,6,6,1.0,6,1.0,3,0.5,11,1.83,55,9.17,93.2,93,15.5,0,0,0,0
Ben Scharadin,8,12,1.5,11,1.38,0,0.0,13,1.63,62,7.75,89.9,117,14.63,0,0,0,0
Nate Castine,6,3,0.5,9,1.5,5,0.83,9,1.5,70,11.67,89.7,129,21.5,0,0,0,0
John Agan,13,11,0.85,5,0.38,4,0.31,16,1.23,59,4.54,93.7,182,14.0,0,0,0,0
Kyle Johnson,4,1,0.25,0,0.0,3,0.75,4,1.0,7,1.75,100.0,53,13.25,0,0,0,0
Russell Howd,13,8,0.62,6,0.46,8,0.62,13,1.0,73,5.62,89.0,193,14.85,0,0,0,0
Brett Matzuka,10,8,0.8,11,1.1,6,0.6,10,1.0,202,20.2,94.0,210,21.0,0,0,0,0
Peter Mancini,5,3,0.6,1,0.2,3,0.6,5,1.0,14,2.8,93.3,80,16.0,0,0,0,0
David Boylan-Kolchin,11,20,1.82,8,0.73,4,0.36,10,0.91,68,6.18,81.0,173,15.73,0,0,0,0
Andrew Allen,9,5,0.56,2,0.22,5,0.56,8,0.89,25,2.78,96.2,121,13.44,0,0,0,0
Nico Lake,8,2,0.25,8,1.0,1,0.13,6,0.75,123,15.38,96.9,120,15.0,0,0,0,0
Anthony McLean,3,1,0.33,2,0.67,2,0.67,2,0.67,10,3.33,83.3,44,14.67,0,0,0,0
Matthew Radhe,8,2,0.25,2,0.25,4,0.5,5,0.63,46,5.75,95.8,127,15.88,0,0,0,0
Jon Neeley,15,9,0.6,17,1.13,6,0.4,8,0.53,389,25.93,94.9,287,19.13,0,0,0,0
Bob Liu,9,6,0.67,8,0.89,2,0.22,1,0.11,258,28.67,94.9,190,21.11,0,0,0,0
Ben Feng,3,0,0.0,1,0.33,1,0.33,0,0.0,5,1.67,83.3,37,12.33,0,0,0,0
