Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jay Froude,16,55,3.44,48,3.0,22,1.38,96,6.0,331,20.69,92.7,391,24.44,0,0,0,0
Kevin Richardson,11,42,3.82,11,1.0,8,0.73,52,4.73,182,16.55,96.3,262,23.82,0,0,0,0
Dalton Smith,12,38,3.17,36,3.0,13,1.08,55,4.58,492,41.0,94.1,309,25.75,0,0,0,0
Thomas Slack,15,33,2.2,23,1.53,10,0.67,51,3.4,229,15.27,95.4,330,22.0,0,0,0,0
Carson Wilder,13,28,2.15,25,1.92,10,0.77,41,3.15,153,11.77,88.4,223,17.15,0,0,0,0
Kaplan Maurer,10,15,1.5,13,1.3,9,0.9,25,2.5,177,17.7,94.7,191,19.1,0,0,0,0
Ben Lewis,13,22,1.69,3,0.23,12,0.92,30,2.31,53,4.08,89.8,195,15.0,0,0,0,0
Chris LaRocque,10,10,1.0,26,2.6,3,0.3,23,2.3,364,36.4,96.6,248,24.8,0,0,0,0
Zach Marbach,16,16,1.0,9,0.56,18,1.13,36,2.25,58,3.63,92.1,255,15.94,0,0,0,0
Joel Clutton,14,15,1.07,3,0.21,21,1.5,30,2.14,89,6.36,91.8,252,18.0,0,0,0,0
Griffin Miller,9,5,0.56,6,0.67,8,0.89,17,1.89,31,3.44,96.9,121,13.44,0,0,0,0
Matt Jackson,14,15,1.07,37,2.64,3,0.21,26,1.86,621,44.36,96.3,388,27.71,0,0,0,0
Kai Marshall,8,11,1.38,18,2.25,4,0.5,13,1.63,111,13.88,86.0,183,22.88,0,0,0,0
Daniel Emmons,12,4,0.33,5,0.42,13,1.08,19,1.58,29,2.42,96.7,150,12.5,0,0,0,0
Connor Olson,15,17,1.13,9,0.6,2,0.13,23,1.53,150,10.0,98.0,255,17.0,0,0,0,0
Noah Chambers,12,6,0.5,2,0.17,10,0.83,17,1.42,42,3.5,97.7,180,15.0,0,0,0,0
Ben Rogers,15,10,0.67,1,0.07,10,0.67,20,1.33,34,2.27,97.1,170,11.33,0,0,0,0
Sam Ward,10,18,1.8,5,0.5,6,0.6,11,1.1,83,8.3,83.8,196,19.6,0,0,0,0
Chris Larberg,13,10,0.77,3,0.23,7,0.54,14,1.08,57,4.38,93.4,207,15.92,0,0,0,0
Reid Bacon,1,2,2.0,2,2.0,0,0.0,1,1.0,7,7.0,70.0,17,17.0,0,0,0,0
Zach Riggins,7,1,0.14,4,0.57,3,0.43,6,0.86,33,4.71,97.1,82,11.71,0,0,0,0
Dillon Larberg,17,8,0.47,50,2.94,28,1.65,14,0.82,438,25.76,86.6,380,22.35,0,0,0,0
Henry Furuta,11,6,0.55,4,0.36,2,0.18,7,0.64,135,12.27,97.1,170,15.45,0,0,0,0
Jack Wooldridge,9,2,0.22,0,0.0,4,0.44,5,0.56,10,1.11,90.9,71,7.89,0,0,0,0
Connor Ughetta,7,4,0.57,5,0.71,1,0.14,3,0.43,68,9.71,90.7,89,12.71,0,0,0,0
Brandon Malecek,15,6,0.4,51,3.4,4,0.27,6,0.4,669,44.6,92.7,346,23.07,0,0,0,0
Matthew Armour,13,4,0.31,2,0.15,3,0.23,5,0.38,33,2.54,89.2,149,11.46,0,0,0,0
Carter Hollo,12,4,0.33,3,0.25,5,0.42,3,0.25,32,2.67,82.1,129,10.75,0,0,0,0
Steven Borik,8,0,0.0,0,0.0,3,0.38,0,0.0,36,4.5,92.3,55,6.88,0,0,0,0
Casey Hogg,11,1,0.09,0,0.0,4,0.36,-1,-0.09,19,1.73,76.0,72,6.55,0,0,0,0
Joe Tylutki,6,0,0.0,1,0.17,0,0.0,-4,-0.67,14,2.33,73.7,62,10.33,0,0,0,0
