Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Carson Wilder,13,41,3.15,31,2.38,8,0.62,66,5.08,173,13.31,92.5,273,21.0,394,30,174,13
Abe Coffin,14,23,1.64,49,3.5,9,0.64,63,4.5,424,30.29,96.1,284,20.29,166,12,436,31
Jay Froude,13,29,2.23,29,2.23,13,1.0,54,4.15,140,10.77,92.1,256,19.69,0,0,0,0
Dalton Smith,10,26,2.6,22,2.2,7,0.7,41,4.1,398,39.8,97.3,226,22.6,166,17,315,32
Matt Jackson,1,3,3.0,0,0.0,4,4.0,4,4.0,23,23.0,88.5,20,20.0,0,0,0,0
Jonathan Costello,1,0,0.0,2,2.0,1,1.0,3,3.0,4,4.0,100.0,13,13.0,0,0,0,0
Thomas Slack,11,20,1.82,17,1.55,4,0.36,30,2.73,154,14.0,95.7,218,19.82,170,15,82,7
Kevin Richardson,9,18,2.0,7,0.78,4,0.44,24,2.67,226,25.11,98.7,188,20.89,175,19,38,4
Connor Olson,13,23,1.77,13,1.0,9,0.69,32,2.46,206,15.85,94.5,228,17.54,230,18,162,12
Zach Riggins,5,5,1.0,4,0.8,1,0.2,9,1.8,23,4.6,100.0,60,12.0,0,0,0,0
Kaplan Maurer,15,17,1.13,18,1.2,7,0.47,26,1.73,187,12.47,93.0,276,18.4,38,3,12,1
Chris Larberg,10,13,1.3,1,0.1,5,0.5,17,1.7,32,3.2,97.0,136,13.6,17,2,11,1
Ben Lewis,13,10,0.77,1,0.08,13,1.0,22,1.69,27,2.08,93.1,178,13.69,0,0,0,0
Kai Marshall,14,12,0.86,12,0.86,24,1.71,21,1.5,145,10.36,87.3,279,19.93,31,2,12,1
Casey Hogg,2,0,0.0,2,1.0,1,0.5,3,1.5,8,4.0,100.0,27,13.5,0,0,0,0
Dillon Larberg,12,3,0.25,32,2.67,17,1.42,17,1.42,193,16.08,85.0,239,19.92,-33,-3,69,6
Wesley Miaw,8,7,0.88,3,0.38,4,0.5,11,1.38,42,5.25,93.3,106,13.25,0,0,0,0
Daniel Emmons,13,5,0.38,6,0.46,11,0.85,17,1.31,29,2.23,90.6,173,13.31,0,0,0,0
Zach Marbach,10,8,0.8,3,0.3,7,0.7,13,1.3,27,2.7,90.0,140,14.0,57,6,-6,-1
Griffin Miller,12,8,0.67,5,0.42,8,0.67,15,1.25,43,3.58,91.5,157,13.08,-6,-1,7,1
Ben Rogers,8,5,0.63,2,0.25,3,0.38,9,1.13,26,3.25,100.0,84,10.5,13,2,-3,0
Henry Furuta,13,12,0.92,13,1.0,1,0.08,14,1.08,377,29.0,97.7,240,18.46,93,7,188,14
Gabriel Hernandez,11,5,0.45,8,0.73,5,0.45,11,1.0,106,9.64,94.6,172,15.64,18,2,58,5
Sam Ward,6,3,0.5,4,0.67,1,0.17,6,1.0,19,3.17,90.5,80,13.33,0,0,0,0
Matthew Armour,9,4,0.44,2,0.22,5,0.56,9,1.0,30,3.33,93.8,116,12.89,0,0,0,0
David Hammer,1,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,100.0,11,11.0,0,0,0,0
Joel Clutton,10,2,0.2,0,0.0,8,0.8,8,0.8,16,1.6,94.1,136,13.6,0,0,0,0
Connor Ughetta,7,2,0.29,3,0.43,3,0.43,5,0.71,37,5.29,92.5,99,14.14,0,0,0,0
Alex Brouwer,7,3,0.43,0,0.0,1,0.14,3,0.43,5,0.71,100.0,45,6.43,0,0,0,0
Abe Gambert,7,1,0.14,0,0.0,4,0.57,2,0.29,37,5.29,92.5,71,10.14,0,0,0,0
Brandon Malecek,12,9,0.75,24,2.0,2,0.17,1,0.08,365,30.42,91.5,225,18.75,0,0,0,0
Noah Chambers,3,0,0.0,0,0.0,3,1.0,0,0.0,15,5.0,83.3,37,12.33,0,0,0,0
Jake Reinhardt,9,2,0.22,2,0.22,9,1.0,0,0.0,57,6.33,83.8,147,16.33,22,2,-3,0
Brian Street,7,0,0.0,1,0.14,0,0.0,0,0.0,10,1.43,90.9,30,4.29,0,0,0,0
Stephen Poulos,5,0,0.0,2,0.4,0,0.0,-7,-1.4,35,7.0,83.3,55,11.0,0,0,0,0
