Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
David Hochhalter,16,19,1.19,27,1.69,1,0.06,26,1.63,172,10.75,89.1,98,6.13,0,0,0,0
Christo Ferguson,16,15,0.94,9,0.56,1,0.06,19,1.19,110,6.88,94.8,80,5.0,0,0,0,0
Mark Worsfold,16,13,0.81,4,0.25,1,0.06,15,0.94,29,1.81,96.7,53,3.31,0,0,0,0
Ben Murphy,16,3,0.19,12,0.75,4,0.25,14,0.88,123,7.69,96.9,110,6.88,0,0,0,0
Ben Ayres,16,8,0.5,6,0.38,2,0.13,14,0.88,51,3.19,98.1,74,4.63,0,0,0,0
Logan Vantrease,16,4,0.25,7,0.44,13,0.81,13,0.81,89,5.56,90.8,114,7.13,0,0,0,0
Andy Barnhart,16,7,0.44,2,0.13,10,0.63,12,0.75,43,2.69,91.5,70,4.38,0,0,0,0
Ken Porter,16,4,0.25,6,0.38,7,0.44,11,0.69,54,3.38,94.7,80,5.0,0,0,0,0
Matt Wilken,16,4,0.25,9,0.56,6,0.38,10,0.63,79,4.94,91.9,62,3.88,0,0,0,0
Eric Hubbard,16,3,0.19,0,0.0,6,0.38,9,0.56,2,0.13,100.0,49,3.06,0,0,0,0
James Highsmith,16,5,0.31,2,0.13,3,0.19,6,0.38,44,2.75,93.6,81,5.06,0,0,0,0
John Abela,16,9,0.56,7,0.44,5,0.31,6,0.38,81,5.06,90.0,91,5.69,0,0,0,0
Michael Weber,16,4,0.25,1,0.06,4,0.25,4,0.25,56,3.5,94.9,61,3.81,0,0,0,0
Daniel Hunt,16,3,0.19,1,0.06,1,0.06,4,0.25,9,0.56,90.0,30,1.88,0,0,0,0
Marc Huber,16,0,0.0,2,0.13,1,0.06,3,0.19,23,1.44,100.0,27,1.69,0,0,0,0
Tyler Bloodworth,16,1,0.06,0,0.0,3,0.19,3,0.19,5,0.31,83.3,30,1.88,0,0,0,0
Nathan Buddemeyer,16,2,0.13,0,0.0,2,0.13,3,0.19,3,0.19,100.0,38,2.38,0,0,0,0
Brendan Schwalm,16,1,0.06,3,0.19,0,0.0,2,0.13,85,5.31,100.0,77,4.81,0,0,0,0
Andrew Lucarotti,16,2,0.13,5,0.31,1,0.06,2,0.13,102,6.38,95.3,57,3.56,0,0,0,0
Mike Zaagman,16,0,0.0,1,0.06,0,0.0,1,0.06,2,0.13,100.0,8,0.5,0,0,0,0
Evan Hughes,16,6,0.38,9,0.56,1,0.06,1,0.06,152,9.5,93.3,124,7.75,0,0,0,0
Johnny Bansfield,16,4,0.25,5,0.31,3,0.19,1,0.06,46,2.88,83.6,71,4.44,0,0,0,0
Monte Jones,16,4,0.25,1,0.06,0,0.0,1,0.06,19,1.19,86.4,40,2.5,0,0,0,0
Dafeng Chen,16,0,0.0,1,0.06,0,0.0,1,0.06,9,0.56,100.0,24,1.5,0,0,0,0
Zach Barnhart,16,2,0.13,2,0.13,0,0.0,1,0.06,31,1.94,91.2,32,2.0,0,0,0,0
Christopher Auman,16,1,0.06,0,0.0,0,0.0,-1,-0.06,1,0.06,50.0,23,1.44,0,0,0,0
Zach Johnston,16,1,0.06,1,0.06,0,0.0,-3,-0.19,15,0.94,75.0,22,1.38,0,0,0,0
