Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Mark Whitton,6,21,3.5,10,1.67,8,1.33,27,4.5,81,13.5,91.0,159,26.5,0,0,0,0
Kevin Coulter,6,15,2.5,28,4.67,5,0.83,26,4.33,136,22.67,87.2,171,28.5,0,0,0,0
Andrew Sjogren,10,29,2.9,6,0.6,5,0.5,32,3.2,143,14.3,97.3,226,22.6,0,0,0,0
Austin Riegel,11,22,2.0,0,0.0,2,0.18,14,1.27,40,3.64,85.1,196,17.82,0,0,0,0
Kevin Nicholl,8,5,0.63,1,0.13,6,0.75,9,1.13,21,2.63,95.5,82,10.25,0,0,0,0
Jordan Kinde,12,9,0.75,24,2.0,7,0.58,11,0.92,216,18.0,89.3,240,20.0,0,0,0,0
Austin Johnson,10,4,0.4,0,0.0,10,1.0,8,0.8,102,10.2,94.4,154,15.4,0,0,0,0
Joseph Cubitt,12,10,0.83,37,3.08,11,0.92,9,0.75,537,44.75,92.1,288,24.0,0,0,0,0
Justin Perticone,7,6,0.86,8,1.14,5,0.71,5,0.71,72,10.29,85.7,167,23.86,0,0,0,0
Ashton Hoffman,7,0,0.0,4,0.57,1,0.14,4,0.57,22,3.14,95.7,42,6.0,0,0,0,0
Troy Roberts,2,0,0.0,1,0.5,1,0.5,1,0.5,3,1.5,75.0,17,8.5,0,0,0,0
Daniel Viggiani,7,6,0.86,0,0.0,2,0.29,3,0.43,17,2.43,85.0,105,15.0,0,0,0,0
Alex Bertoia,8,3,0.38,6,0.75,5,0.63,3,0.38,143,17.88,92.9,148,18.5,0,0,0,0
Ben Cheer,11,13,1.18,4,0.36,10,0.91,4,0.36,87,7.91,82.1,235,21.36,0,0,0,0
Wasdi Grimaldo,3,0,0.0,0,0.0,2,0.67,1,0.33,1,0.33,50.0,22,7.33,0,0,0,0
Kevin Anthony,6,2,0.33,1,0.17,2,0.33,2,0.33,23,3.83,92.0,66,11.0,0,0,0,0
Joe Rogers,5,5,1.0,0,0.0,1,0.2,1,0.2,73,14.6,94.8,108,21.6,0,0,0,0
Jeffery Schubert,8,3,0.38,1,0.13,2,0.25,1,0.13,9,1.13,69.2,89,11.13,0,0,0,0
Neil Proefrock,2,0,0.0,0,0.0,0,0.0,0,0.0,3,1.5,100.0,5,2.5,0,0,0,0
Mitchell DeNooyer,4,0,0.0,1,0.25,0,0.0,0,0.0,5,1.25,83.3,41,10.25,0,0,0,0
Ed Fox,4,1,0.25,3,0.75,2,0.5,0,0.0,71,17.75,92.2,66,16.5,0,0,0,0
Josh Beaulieu,10,0,0.0,1,0.1,1,0.1,-1,-0.1,15,1.5,83.3,81,8.1,0,0,0,0
Jon Gibson,6,2,0.33,4,0.67,0,0.0,-1,-0.17,38,6.33,86.4,101,16.83,0,0,0,0
Karl Fauerbach,9,0,0.0,3,0.33,1,0.11,-7,-0.78,106,11.78,90.6,116,12.89,0,0,0,0
Jonathan Lee,6,0,0.0,0,0.0,0,0.0,-6,-1.0,29,4.83,82.9,50,8.33,0,0,0,0
David Innis,11,2,0.18,11,1.0,4,0.36,-13,-1.18,441,40.09,94.2,213,19.36,0,0,0,0
James Baker Jr,2,1,0.5,1,0.5,0,0.0,-3,-1.5,16,8.0,76.2,38,19.0,0,0,0,0
