Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Cameron Brock,17,94,5.53,25,1.47,6,0.35,107,6.29,130,7.65,91.5,267,15.71,0,0,0,0
Keenan Plew,17,63,3.71,59,3.47,7,0.41,102,6.0,332,19.53,96.0,265,15.59,0,0,0,0
Travis Carpenter,17,22,1.29,26,1.53,32,1.88,74,4.35,79,4.65,94.0,254,14.94,0,0,0,0
Alex Krzywda,17,23,1.35,23,1.35,9,0.53,42,2.47,130,7.65,93.5,192,11.29,0,0,0,0
Peter Carleton,17,11,0.65,10,0.59,24,1.41,39,2.29,50,2.94,92.6,199,11.71,0,0,0,0
Robbie Craven,17,20,1.18,5,0.29,20,1.18,39,2.29,30,1.76,93.8,167,9.82,0,0,0,0
Scott O'Brien,14,14,1.0,10,0.71,9,0.64,28,2.0,37,2.64,92.5,140,10.0,0,0,0,0
David Valentine-Elam,17,14,0.82,22,1.29,6,0.35,33,1.94,91,5.35,91.9,138,8.12,0,0,0,0
Michael Ames,17,11,0.65,28,1.65,5,0.29,29,1.71,301,17.71,95.3,242,14.24,0,0,0,0
Kyle Cox,17,8,0.47,31,1.82,10,0.59,25,1.47,400,23.53,94.3,228,13.41,0,0,0,0
Michael Ford,17,4,0.24,31,1.82,9,0.53,23,1.35,119,7.0,85.6,237,13.94,0,0,0,0
Chris Elworth,12,14,1.17,1,0.08,1,0.08,16,1.33,3,0.25,100.0,20,1.67,0,0,0,0
Zach Maynard,17,9,0.53,3,0.18,12,0.71,21,1.24,16,0.94,94.1,88,5.18,0,0,0,0
Luke Broderick,17,3,0.18,16,0.94,12,0.71,18,1.06,71,4.18,84.5,142,8.35,0,0,0,0
David Hortemiller,17,12,0.71,8,0.47,7,0.41,18,1.06,49,2.88,94.2,178,10.47,0,0,0,0
Troy Revell,17,19,1.12,21,1.24,6,0.35,16,0.94,424,24.94,94.0,234,13.76,0,0,0,0
Benjamin Parris,12,3,0.25,5,0.42,5,0.42,11,0.92,14,1.17,100.0,39,3.25,0,0,0,0
Jared Payne,17,14,0.82,27,1.59,2,0.12,15,0.88,148,8.71,86.0,182,10.71,0,0,0,0
Hans Rasmussen,17,8,0.47,5,0.29,3,0.18,13,0.76,71,4.18,95.9,170,10.0,0,0,0,0
Blake Vanderbush,17,5,0.29,11,0.65,7,0.41,12,0.71,267,15.71,96.4,185,10.88,0,0,0,0
Dane Lockhart,14,6,0.43,3,0.21,0,0.0,8,0.57,22,1.57,95.7,39,2.79,0,0,0,0
Steve LaCrosse,17,7,0.41,7,0.41,1,0.06,9,0.53,31,1.82,91.2,46,2.71,0,0,0,0
Jason Yoder,17,1,0.06,11,0.65,10,0.59,7,0.41,114,6.71,89.1,208,12.24,0,0,0,0
Sajed Dosenbach,17,3,0.18,2,0.12,6,0.35,6,0.35,32,1.88,88.9,123,7.24,0,0,0,0
Joey Cari,17,3,0.18,6,0.35,5,0.29,4,0.24,75,4.41,92.6,139,8.18,0,0,0,0
Chris Malackany,9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.11,100.0,0,0.0,0,0,0,0
Will Cernanec,9,1,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,0.78,0,0,0,0
Casey Bybee,17,1,0.06,0,0.0,1,0.06,-1,-0.06,7,0.41,87.5,40,2.35,0,0,0,0
Dustin Hughes,9,0,0.0,0,0.0,0,0.0,-1,-0.11,3,0.33,75.0,16,1.78,0,0,0,0
Steven Hightshue,9,0,0.0,0,0.0,0,0.0,-3,-0.33,0,0.0,0.0,4,0.44,0,0,0,0
