Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Rick Gross,15,62,4.13,29,1.93,28,1.87,92,6.13,253,16.87,93.0,377,25.13,0,0,0,0
Cameron Brock,16,61,3.81,34,2.13,8,0.5,75,4.69,252,15.75,90.6,368,23.0,0,0,0,0
Connor Lukas,1,1,1.0,4,4.0,1,1.0,4,4.0,11,11.0,91.7,20,20.0,0,0,0,0
Levi Jacobs,14,32,2.29,45,3.21,7,0.5,50,3.57,195,13.93,86.7,294,21.0,0,0,0,0
Keegan North,13,26,2.0,39,3.0,8,0.62,43,3.31,261,20.08,91.3,254,19.54,0,0,0,0
Keenan Plew,15,15,1.0,47,3.13,6,0.4,46,3.07,751,50.07,97.2,317,21.13,0,0,0,0
Nick Hutton,13,5,0.38,16,1.23,25,1.92,35,2.69,81,6.23,92.0,239,18.38,0,0,0,0
Travis Carpenter,15,27,1.8,31,2.07,12,0.8,34,2.27,567,37.8,94.2,401,26.73,0,0,0,0
Kip Curtis,15,16,1.07,11,0.73,12,0.8,33,2.2,61,4.07,93.8,281,18.73,0,0,0,0
Jesse Jenkins,5,4,0.8,1,0.2,6,1.2,10,2.0,12,2.4,92.3,66,13.2,0,0,0,0
Nathan Bussberg,2,2,1.0,1,0.5,1,0.5,4,2.0,9,4.5,100.0,34,17.0,0,0,0,0
John Jones,13,12,0.92,3,0.23,16,1.23,25,1.92,29,2.23,85.3,185,14.23,0,0,0,0
Aaron Schwartz,16,17,1.06,10,0.63,16,1.0,30,1.88,105,6.56,91.3,276,17.25,0,0,0,0
Conner Henderson,12,13,1.08,7,0.58,5,0.42,21,1.75,42,3.5,95.5,158,13.17,0,0,0,0
Donovan Triplett,13,6,0.46,17,1.31,12,0.92,21,1.62,138,10.62,90.8,206,15.85,0,0,0,0
Peter Carleton,13,8,0.62,16,1.23,7,0.54,20,1.54,68,5.23,87.2,232,17.85,0,0,0,0
Alex Henderson,9,11,1.22,7,0.78,4,0.44,13,1.44,120,13.33,93.8,124,13.78,0,0,0,0
Josh Duncan,5,2,0.4,1,0.2,3,0.6,6,1.2,4,0.8,100.0,56,11.2,0,0,0,0
Stephen Schott,2,0,0.0,2,1.0,0,0.0,2,1.0,11,5.5,100.0,24,12.0,0,0,0,0
Spencer Loscar,10,7,0.7,5,0.5,6,0.6,10,1.0,70,7.0,93.3,174,17.4,0,0,0,0
Heath Kalaba,9,3,0.33,3,0.33,6,0.67,8,0.89,23,2.56,92.0,100,11.11,0,0,0,0
Jon Wenger,12,7,0.58,11,0.92,5,0.42,10,0.83,42,3.5,79.2,172,14.33,0,0,0,0
Robbie Craven,6,3,0.5,3,0.5,2,0.33,5,0.83,20,3.33,90.9,72,12.0,0,0,0,0
Kyle Cox,14,4,0.29,14,1.0,7,0.5,11,0.79,311,22.21,96.0,248,17.71,0,0,0,0
Sam Sohn,14,21,1.5,12,0.86,5,0.36,11,0.79,360,25.71,94.7,275,19.64,0,0,0,0
Dan Clement,3,0,0.0,1,0.33,3,1.0,2,0.67,6,2.0,75.0,39,13.0,0,0,0,0
Zach Zebarth,9,2,0.22,1,0.11,4,0.44,5,0.56,27,3.0,93.1,93,10.33,0,0,0,0
Terry Gaither,2,1,0.5,0,0.0,0,0.0,1,0.5,6,3.0,100.0,28,14.0,0,0,0,0
Jacob Fella,3,1,0.33,3,1.0,4,1.33,1,0.33,15,5.0,68.2,35,11.67,0,0,0,0
Colton Steiner,10,5,0.5,2,0.2,3,0.3,2,0.2,18,1.8,75.0,115,11.5,0,0,0,0
Colin Ringwood,13,9,0.69,5,0.38,3,0.23,1,0.08,90,6.92,87.4,155,11.92,0,0,0,0
Austin Ambrose,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1.0,0,0,0,0
Michael Ames,10,0,0.0,3,0.3,3,0.3,-4,-0.4,79,7.9,91.9,127,12.7,0,0,0,0
Joey Cari,2,1,0.5,0,0.0,2,1.0,-5,-2.5,12,6.0,63.2,23,11.5,0,0,0,0
