Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Sean McDougall,13,31,2.38,49,3.77,11,0.85,70,5.38,206,15.85,92.8,288,22.15,0,0,0,0
Danny Landesman,10,32,3.2,13,1.3,4,0.4,44,4.4,108,10.8,97.3,174,17.4,0,0,0,0
Joc Jimenez,13,42,3.23,17,1.31,9,0.69,56,4.31,132,10.15,93.6,270,20.77,0,0,0,0
Aaron Weaver,11,14,1.27,22,2.0,8,0.73,37,3.36,250,22.73,97.7,238,21.64,0,0,0,0
Eric Lissner,8,5,0.63,19,2.38,11,1.38,25,3.13,120,15.0,92.3,166,20.75,0,0,0,0
Tyler Bacon,11,20,1.82,26,2.36,5,0.45,34,3.09,244,22.18,93.8,196,17.82,0,0,0,0
Kenrick Koo,6,11,1.83,9,1.5,3,0.5,16,2.67,54,9.0,94.7,110,18.33,0,0,0,0
Michael Kiyoi,9,14,1.56,17,1.89,3,0.33,24,2.67,156,17.33,95.1,168,18.67,0,0,0,0
Zach Theodore,12,23,1.92,4,0.33,11,0.92,29,2.42,63,5.25,90.0,233,19.42,0,0,0,0
Calvin Brown,6,6,1.0,16,2.67,3,0.5,13,2.17,152,25.33,93.3,123,20.5,0,0,0,0
Jeffrey Silverman,13,9,0.69,8,0.62,11,0.85,23,1.77,83,6.38,94.3,209,16.08,0,0,0,0
Jake Baumer,6,3,0.5,2,0.33,9,1.5,10,1.67,20,3.33,83.3,76,12.67,0,0,0,0
Collin Gall,9,4,0.44,13,1.44,5,0.56,15,1.67,73,8.11,91.3,124,13.78,0,0,0,0
Alex Drum,12,9,0.75,7,0.58,9,0.75,18,1.5,48,4.0,90.6,192,16.0,0,0,0,0
Timothy Beatty,10,12,1.2,20,2.0,0,0.0,14,1.4,329,32.9,95.4,199,19.9,0,0,0,0
Sam Plasman,10,9,0.9,3,0.3,4,0.4,14,1.4,20,2.0,95.2,124,12.4,0,0,0,0
Ian Ladner,5,2,0.4,4,0.8,2,0.4,7,1.4,58,11.6,100.0,85,17.0,0,0,0,0
Ryan Lepore,3,3,1.0,2,0.67,0,0.0,4,1.33,14,4.67,100.0,47,15.67,0,0,0,0
Xavier Charles,10,6,0.6,2,0.2,4,0.4,12,1.2,12,1.2,100.0,95,9.5,0,0,0,0
Mitchell Steiner,13,3,0.23,7,0.54,11,0.85,15,1.15,117,9.0,95.9,206,15.85,0,0,0,0
Kyle Conniff,7,3,0.43,6,0.86,2,0.29,8,1.14,36,5.14,94.7,86,12.29,0,0,0,0
Andrew Padula,10,5,0.5,2,0.2,6,0.6,10,1.0,47,4.7,94.0,140,14.0,0,0,0,0
Nate Ransom,10,9,0.9,11,1.1,7,0.7,10,1.0,198,19.8,92.5,187,18.7,0,0,0,0
Nate Kirchhofer,10,5,0.5,4,0.4,4,0.4,8,0.8,64,6.4,95.5,148,14.8,0,0,0,0
Ryan Smith,9,4,0.44,5,0.56,1,0.11,7,0.78,62,6.89,95.4,118,13.11,0,0,0,0
Jacob Bartholomew,4,4,1.0,0,0.0,0,0.0,3,0.75,10,2.5,90.9,57,14.25,0,0,0,0
Zac Schakner,6,3,0.5,2,0.33,2,0.33,4,0.67,59,9.83,95.2,99,16.5,0,0,0,0
Garrett Santi,9,7,0.78,4,0.44,1,0.11,5,0.56,39,4.33,90.7,110,12.22,0,0,0,0
Wayne Lu,4,2,0.5,2,0.5,0,0.0,2,0.5,14,3.5,93.3,58,14.5,0,0,0,0
Matt Theologidy,9,2,0.22,1,0.11,2,0.22,3,0.33,59,6.56,96.7,118,13.11,0,0,0,0
Evan Valdes,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,14,7.0,0,0,0,0
Thomas Anderson,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,15,15.0,0,0,0,0
