Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Danny Landesman,6,25,4.17,12,2.0,2,0.33,30,5.0,118,19.67,94.4,120,20.0,1549,258,574,96
Sean McDougall,10,36,3.6,20,2.0,16,1.6,49,4.9,137,13.7,87.3,227,22.7,2550,255,966,97
Seamus Robinson,1,2,2.0,0,0.0,2,2.0,4,4.0,6,6.0,100.0,20,20.0,35,35,14,14
Marcel Osborne,6,14,2.33,10,1.67,1,0.17,17,2.83,74,12.33,92.5,122,20.33,1023,171,479,80
Sam Cook,9,17,1.89,16,1.78,3,0.33,25,2.78,197,21.89,94.7,186,20.67,1603,178,1154,128
Kenrick Koo,8,8,1.0,16,2.0,8,1.0,21,2.63,148,18.5,93.7,166,20.75,1025,128,1219,152
Michael Kiyoi,10,17,1.7,13,1.3,3,0.3,19,1.9,165,16.5,94.3,187,18.7,1142,114,1034,103
Seamus Robinson,6,5,0.83,5,0.83,8,1.33,11,1.83,47,7.83,88.7,108,18.0,585,98,158,26
Matt Miller,8,4,0.5,8,1.0,4,0.5,14,1.75,106,13.25,98.1,132,16.5,160,20,592,74
Calvin Brown,7,13,1.86,22,3.14,9,1.29,8,1.14,242,34.57,87.4,149,21.29,819,117,2287,327
Wayne Lu,3,1,0.33,0,0.0,5,1.67,3,1.0,0,0.0,0.0,29,9.67,41,14,0,0
Mitchell Steiner,9,6,0.67,6,0.67,5,0.56,9,1.0,79,8.78,92.9,148,16.44,616,68,406,45
Garrett Santi,2,2,1.0,1,0.5,1,0.5,2,1.0,6,3.0,75.0,26,13.0,72,36,28,14
Jake Baumer,3,1,0.33,1,0.33,1,0.33,3,1.0,5,1.67,100.0,19,6.33,67,22,50,17
Matt Theologidy,2,0,0.0,3,1.5,0,0.0,2,1.0,38,19.0,97.4,27,13.5,80,40,185,93
Sam Plasman,6,3,0.5,0,0.0,2,0.33,4,0.67,10,1.67,90.9,61,10.17,224,37,60,10
Nate Ransom,9,5,0.56,5,0.56,6,0.67,5,0.56,81,9.0,89.0,140,15.56,247,27,402,45
Collin Gall,10,4,0.4,13,1.3,1,0.1,4,0.4,244,24.4,94.6,200,20.0,29,3,1666,167
Eddie Finley,6,0,0.0,0,0.0,3,0.5,2,0.33,4,0.67,80.0,38,6.33,56,9,4,1
Andrew Padula,10,5,0.5,0,0.0,5,0.5,3,0.3,87,8.7,93.5,177,17.7,331,33,224,22
Brandon Van Deusen,7,3,0.43,9,1.29,1,0.14,2,0.29,108,15.43,91.5,98,14.0,634,91,602,86
Ricky Kirkpatrick,7,1,0.14,0,0.0,2,0.29,2,0.29,4,0.57,100.0,34,4.86,57,8,-8,-1
Kevin Goldberg,5,0,0.0,1,0.2,1,0.2,1,0.2,23,4.6,100.0,39,7.8,105,21,133,27
Ian Ladner,6,2,0.33,0,0.0,0,0.0,1,0.17,25,4.17,96.2,33,5.5,76,13,120,20
Walter Kasprzycki,2,0,0.0,2,1.0,1,0.5,0,0.0,8,4.0,80.0,39,19.5,172,86,55,28
Jake Coleman,3,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,100.0,18,6.0,49,16,2,1
Xavier Charles,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,26,5.2,15,3,0,0
Nate Kirchhofer,2,0,0.0,1,0.5,0,0.0,0,0.0,8,4.0,88.9,17,8.5,-23,-12,146,73
Tim Predmore,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3,3.0,0,0,0,0
Robby Odum,3,0,0.0,0,0.0,0,0.0,0,0.0,2,0.67,100.0,13,4.33,8,3,9,3
Kyle Johnson,8,1,0.13,0,0.0,0,0.0,-1,-0.13,11,1.38,91.7,75,9.38,171,21,39,5
Kyle Conniff,4,0,0.0,0,0.0,0,0.0,-1,-0.25,2,0.5,100.0,22,5.5,3,1,32,8
Zubair Abdulla,3,0,0.0,1,0.33,0,0.0,-1,-0.33,33,11.0,94.3,28,9.33,27,9,174,58
Tim Predmore,3,0,0.0,0,0.0,0,0.0,-1,-0.33,1,0.33,100.0,8,2.67,20,7,5,2
Sam Fontaine,9,7,0.78,17,1.89,2,0.22,-5,-0.56,283,31.44,91.0,168,18.67,1153,128,1930,214
Kegan Carroll,1,0,0.0,0,0.0,0,0.0,-1,-1.0,0,0.0,0.0,3,3.0,0,0,0,0
