Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Peter Graffy,13,29,2.23,37,2.85,42,3.23,84,6.46,218,16.77,90.5,380,29.23,0,0,0,0
Chris Wilen,1,2,2.0,1,1.0,1,1.0,4,4.0,4,4.0,100.0,19,19.0,0,0,0,0
Jay Froude,7,10,1.43,19,2.71,12,1.71,28,4.0,63,9.0,85.1,170,24.29,0,0,0,0
Nate Thibedeau,8,18,2.25,12,1.5,3,0.38,31,3.88,66,8.25,97.1,117,14.63,0,0,0,0
Ryan Tucker,10,23,2.3,13,1.3,7,0.7,37,3.7,48,4.8,96.0,155,15.5,0,0,0,0
Andrew Meshnick,16,32,2.0,34,2.13,28,1.75,59,3.69,157,9.81,85.8,457,28.56,0,0,0,0
Joshua Wilson,2,2,1.0,3,1.5,4,2.0,7,3.5,10,5.0,83.3,38,19.0,0,0,0,0
Seth Meyer,10,19,1.9,10,1.0,14,1.4,35,3.5,33,3.3,89.2,142,14.2,0,0,0,0
Colin Camp,15,36,2.4,17,1.13,13,0.87,51,3.4,139,9.27,93.9,233,15.53,0,0,0,0
Brian Hart,14,35,2.5,21,1.5,11,0.79,45,3.21,289,20.64,94.4,250,17.86,0,0,0,0
Scott Richgels,9,15,1.67,13,1.44,12,1.33,27,3.0,89,9.89,91.8,189,21.0,0,0,0,0
Pat Shriwise,11,14,1.27,22,2.0,2,0.18,33,3.0,172,15.64,97.2,165,15.0,0,0,0,0
Dave Wiseman,13,23,1.77,28,2.15,5,0.38,34,2.62,143,11.0,87.7,204,15.69,0,0,0,0
Logan Pruess,9,12,1.33,11,1.22,14,1.56,23,2.56,136,15.11,91.9,174,19.33,0,0,0,0
Matt Weber,14,21,1.5,4,0.29,17,1.21,34,2.43,51,3.64,92.7,246,17.57,0,0,0,0
Kevin Pettit-Scantling,13,17,1.31,10,0.77,15,1.15,31,2.38,56,4.31,87.5,206,15.85,0,0,0,0
Kevin Brown,11,12,1.09,31,2.82,8,0.73,26,2.36,179,16.27,89.5,191,17.36,0,0,0,0
Thomas Coolidge,12,9,0.75,13,1.08,10,0.83,27,2.25,117,9.75,96.7,216,18.0,0,0,0,0
Abe Coffin,6,3,0.5,14,2.33,4,0.67,11,1.83,92,15.33,91.1,119,19.83,0,0,0,0
Keith Garner,7,6,0.86,6,0.86,3,0.43,11,1.57,71,10.14,94.7,109,15.57,0,0,0,0
Kyle Weigand,10,12,1.2,4,0.4,8,0.8,15,1.5,43,4.3,91.5,148,14.8,0,0,0,0
David Meinecke,9,9,1.0,2,0.22,7,0.78,10,1.11,38,4.22,88.4,126,14.0,0,0,0,0
Jadon Scullion,14,11,0.79,17,1.21,4,0.29,15,1.07,281,20.07,94.3,205,14.64,0,0,0,0
Ben Nelson,9,3,0.33,20,2.22,5,0.56,9,1.0,157,17.44,90.2,170,18.89,0,0,0,0
Adam Drews,10,10,1.0,8,0.8,5,0.5,9,0.9,195,19.5,95.1,158,15.8,0,0,0,0
Bill Everhart,14,13,0.93,12,0.86,7,0.5,11,0.79,235,16.79,93.6,253,18.07,0,0,0,0
Tim DeByl,2,2,1.0,1,0.5,0,0.0,1,0.5,2,1.0,100.0,27,13.5,0,0,0,0
Julian Gallo,2,0,0.0,0,0.0,1,0.5,1,0.5,2,1.0,100.0,21,10.5,0,0,0,0
Tom Annen,11,7,0.64,13,1.18,3,0.27,5,0.45,276,25.09,94.5,187,17.0,0,0,0,0
Andrew Brown,8,2,0.25,8,1.0,3,0.38,3,0.38,234,29.25,96.3,115,14.38,0,0,0,0
Mike Swain,9,3,0.33,3,0.33,4,0.44,3,0.33,24,2.67,82.8,97,10.78,0,0,0,0
Kelsen Alexander,7,3,0.43,1,0.14,3,0.43,2,0.29,27,3.86,96.4,80,11.43,0,0,0,0
Benjy Keren,1,0,0.0,3,3.0,1,1.0,0,0.0,23,23.0,92.0,16,16.0,0,0,0,0
Nate Volkman,1,0,0.0,0,0.0,0,0.0,-1,-1.0,26,26.0,96.3,15,15.0,0,0,0,0
