Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Peter Graffy,6,15,2.5,14,2.33,5,0.83,26,4.33,87,14.5,92.6,103,17.17,0,0,0,0
Sterling Knoche,11,16,1.45,4,0.36,22,2.0,38,3.45,46,4.18,93.9,245,22.27,0,0,0,0
Kevin Pettit-Scantling,11,12,1.09,8,0.73,25,2.27,37,3.36,93,8.45,94.9,252,22.91,0,0,0,0
Colin Camp,11,27,2.45,18,1.64,2,0.18,36,3.27,166,15.09,95.4,181,16.45,0,0,0,0
Jeff Maskalunas,5,6,1.2,5,1.0,6,1.2,14,2.8,29,5.8,96.7,74,14.8,0,0,0,0
Dave Wiseman,6,8,1.33,10,1.67,4,0.67,16,2.67,55,9.17,93.2,96,16.0,0,0,0,0
Andrew Meshnick,12,15,1.25,13,1.08,9,0.75,28,2.33,78,6.5,89.7,220,18.33,0,0,0,0
Rami Paust,3,1,0.33,5,1.67,3,1.0,7,2.33,27,9.0,93.1,46,15.33,0,0,0,0
Chase Marty,9,14,1.56,4,0.44,3,0.33,21,2.33,25,2.78,100.0,114,12.67,0,0,0,0
Ben Nelson,7,6,0.86,13,1.86,2,0.29,15,2.14,221,31.57,97.4,107,15.29,0,0,0,0
Seth Meyer,7,6,0.86,2,0.29,9,1.29,15,2.14,17,2.43,94.4,84,12.0,0,0,0,0
Avery Johnson,9,16,1.78,4,0.44,2,0.22,19,2.11,72,8.0,98.6,128,14.22,0,0,0,0
Luke Marks,1,1,1.0,0,0.0,1,1.0,2,2.0,5,5.0,100.0,11,11.0,0,0,0,0
David Nester,1,0,0.0,1,1.0,1,1.0,2,2.0,2,2.0,100.0,16,16.0,0,0,0,0
Pat Shriwise,10,11,1.1,22,2.2,2,0.2,18,1.8,360,36.0,96.5,158,15.8,0,0,0,0
Tarik Akyuz,4,6,1.5,3,0.75,3,0.75,7,1.75,35,8.75,92.1,58,14.5,0,0,0,0
Kevin Brown,10,13,1.3,33,3.3,2,0.2,17,1.7,321,32.1,91.5,182,18.2,0,0,0,0
Thomas Coolidge,11,5,0.45,8,0.73,8,0.73,18,1.64,117,10.64,97.5,163,14.82,0,0,0,0
Ryan Tucker,2,1,0.5,2,1.0,2,1.0,3,1.5,15,7.5,88.2,28,14.0,0,0,0,0
Chris Wilen,11,14,1.27,4,0.36,8,0.73,16,1.45,57,5.18,89.1,203,18.45,0,0,0,0
Nate Bosscher,9,6,0.67,14,1.56,5,0.56,13,1.44,95,10.56,89.6,150,16.67,0,0,0,0
Logan Pruess,5,4,0.8,7,1.4,0,0.0,7,1.4,66,13.2,95.7,94,18.8,0,0,0,0
Brett Robinson,3,4,1.33,2,0.67,3,1.0,4,1.33,5,1.67,83.3,36,12.0,0,0,0,0
Victor Luo,10,6,0.6,12,1.2,6,0.6,13,1.3,178,17.8,94.7,157,15.7,0,0,0,0
Joshua Wilson,11,7,0.64,15,1.36,5,0.45,14,1.27,165,15.0,93.2,206,18.73,0,0,0,0
Kyle Dreger,1,1,1.0,0,0.0,0,0.0,1,1.0,6,6.0,100.0,10,10.0,0,0,0,0
Jack Kelly,4,3,0.75,2,0.5,3,0.75,4,1.0,13,3.25,81.3,45,11.25,0,0,0,0
Sean Treacy,3,3,1.0,1,0.33,1,0.33,3,1.0,11,3.67,91.7,28,9.33,0,0,0,0
Dylan Power,9,6,0.67,5,0.56,1,0.11,8,0.89,128,14.22,97.0,112,12.44,0,0,0,0
Colin Grandon,9,1,0.11,7,0.78,3,0.33,8,0.89,36,4.0,92.3,112,12.44,0,0,0,0
Mike Kobyra,4,2,0.5,1,0.25,2,0.5,2,0.5,10,2.5,76.9,31,7.75,0,0,0,0
Tom Annen,7,5,0.71,3,0.43,1,0.14,3,0.43,111,15.86,96.5,98,14.0,0,0,0,0
Dan Vockeroth,2,1,0.5,0,0.0,1,0.5,0,0.0,2,1.0,100.0,24,12.0,0,0,0,0
Kyle Weigand,8,1,0.13,2,0.25,1,0.13,-1,-0.13,44,5.5,93.6,90,11.25,0,0,0,0
Ted Schewe,4,3,0.75,2,0.5,1,0.25,-2,-0.5,20,5.0,80.0,44,11.0,0,0,0,0
