Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
James Hron,13,45,3.46,35,2.69,21,1.62,85,6.54,246,18.92,96.1,299,23.0,0,0,0,0
Kevin Seiler,12,22,1.83,44,3.67,9,0.75,59,4.92,299,24.92,96.1,243,20.25,0,0,0,0
Ben Jagt,14,47,3.36,8,0.57,25,1.79,68,4.86,56,4.0,91.8,291,20.79,0,0,0,0
Brian Schoenrock,14,20,1.43,19,1.36,26,1.86,58,4.14,111,7.93,98.2,306,21.86,0,0,0,0
Pat Jensen,8,23,2.88,6,0.75,16,2.0,33,4.13,116,14.5,96.7,178,22.25,0,0,0,0
Jay Drescher,13,14,1.08,29,2.23,27,2.08,50,3.85,140,10.77,88.1,298,22.92,0,0,0,0
David Shirley,11,19,1.73,13,1.18,12,1.09,40,3.64,86,7.82,96.6,215,19.55,0,0,0,0
Josh Hemmesch,10,16,1.6,15,1.5,9,0.9,31,3.1,130,13.0,95.6,172,17.2,0,0,0,0
Nikhal Bhakta,1,3,3.0,0,0.0,2,2.0,3,3.0,4,4.0,80.0,22,22.0,0,0,0,0
Brandon Matis,8,12,1.5,4,0.5,8,1.0,20,2.5,26,3.25,92.9,155,19.38,0,0,0,0
Eric EJ Johnson,5,1,0.2,15,3.0,2,0.4,12,2.4,146,29.2,96.7,117,23.4,0,0,0,0
Marc Pisansky,8,12,1.5,10,1.25,7,0.88,18,2.25,75,9.38,90.4,117,14.63,0,0,0,0
Logan Weiss,4,2,0.5,6,1.5,2,0.5,8,2.0,61,15.25,96.8,64,16.0,0,0,0,0
Neal Hanke,8,5,0.63,4,0.5,7,0.88,14,1.75,28,3.5,96.6,126,15.75,0,0,0,0
Kyle Gill,8,15,1.88,7,0.88,4,0.5,14,1.75,92,11.5,92.9,133,16.63,0,0,0,0
Ben Feldman,7,1,0.14,12,1.71,6,0.86,11,1.57,72,10.29,92.3,126,18.0,0,0,0,0
Dan Miller,12,13,1.08,12,1.0,3,0.25,17,1.42,143,11.92,96.0,200,16.67,0,0,0,0
Dustin Rooffener,5,7,1.4,1,0.2,1,0.2,7,1.4,15,3.0,100.0,65,13.0,0,0,0,0
Shane Hohenstein,3,2,0.67,0,0.0,3,1.0,4,1.33,6,2.0,85.7,42,14.0,0,0,0,0
Michael Petersen,14,6,0.43,20,1.43,10,0.71,18,1.29,145,10.36,90.6,246,17.57,0,0,0,0
Pat Niles,9,13,1.44,6,0.67,4,0.44,11,1.22,83,9.22,89.2,150,16.67,0,0,0,0
Dan Miesen,5,8,1.6,8,1.6,2,0.4,6,1.2,180,36.0,96.8,99,19.8,0,0,0,0
Danny Hunt,9,3,0.33,9,1.0,4,0.44,9,1.0,145,16.11,97.3,135,15.0,0,0,0,0
Alex Baker,11,4,0.36,7,0.64,8,0.73,9,0.82,126,11.45,93.3,159,14.45,0,0,0,0
Matt Young,4,1,0.25,3,0.75,3,0.75,3,0.75,16,4.0,88.9,49,12.25,0,0,0,0
Robert Johnson,4,1,0.25,2,0.5,2,0.5,3,0.75,15,3.75,100.0,35,8.75,0,0,0,0
Jon Gaynor,5,2,0.4,6,1.2,8,1.6,3,0.6,77,15.4,85.6,88,17.6,0,0,0,0
Pete Carr,9,4,0.44,2,0.22,3,0.33,5,0.56,147,16.33,98.7,122,13.56,0,0,0,0
David Wenzel,2,2,1.0,0,0.0,0,0.0,1,0.5,6,3.0,100.0,15,7.5,0,0,0,0
Jon Staron,12,10,0.83,12,1.0,1,0.08,5,0.42,585,48.75,98.2,253,21.08,0,0,0,0
Nicholas Simonelli,6,2,0.33,5,0.83,3,0.5,2,0.33,88,14.67,94.6,114,19.0,0,0,0,0
Austin Lien,14,5,0.36,13,0.93,2,0.14,3,0.21,551,39.36,97.7,304,21.71,0,0,0,0
Josh Klane,5,0,0.0,7,1.4,3,0.6,1,0.2,96,19.2,91.4,77,15.4,0,0,0,0
John Groess,3,1,0.33,1,0.33,0,0.0,0,0.0,18,6.0,94.7,33,11.0,0,0,0,0
