Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Ben Jagt,7,20,2.86,26,3.71,13,1.86,45,6.43,94,13.43,88.7,164,23.43,0,0,0,0
Brian Schoenrock,13,51,3.92,20,1.54,20,1.54,82,6.31,153,11.77,95.6,283,21.77,0,0,0,0
James Kittlesen,12,21,1.75,12,1.0,32,2.67,52,4.33,80,6.67,92.0,265,22.08,0,0,0,0
Sean Newlin,1,1,1.0,3,3.0,2,2.0,4,4.0,9,9.0,90.0,16,16.0,0,0,0,0
Carlos Wolle,11,19,1.73,12,1.09,11,1.0,32,2.91,126,11.45,96.2,213,19.36,0,0,0,0
Jay Drescher,10,9,0.9,27,2.7,29,2.9,29,2.9,163,16.3,83.2,189,18.9,0,0,0,0
Brandon Matis,13,18,1.38,11,0.85,16,1.23,31,2.38,92,7.08,90.2,218,16.77,0,0,0,0
Michael Jordan,10,17,1.7,5,0.5,5,0.5,19,1.9,86,8.6,95.6,148,14.8,0,0,0,0
Samuel Reis,10,6,0.6,10,1.0,14,1.4,19,1.9,50,5.0,90.9,141,14.1,0,0,0,0
Liam Shramko,8,10,1.25,9,1.13,5,0.63,15,1.88,56,7.0,91.8,115,14.38,0,0,0,0
Zac Merie,11,17,1.55,1,0.09,9,0.82,20,1.82,54,4.91,94.7,164,14.91,0,0,0,0
Jacob Lien,12,11,0.92,16,1.33,11,0.92,20,1.67,275,22.92,94.2,233,19.42,0,0,0,0
Danny Collom,14,14,1.0,26,1.86,14,1.0,21,1.5,337,24.07,92.3,300,21.43,0,0,0,0
Neal Hanke,9,8,0.89,7,0.78,15,1.67,13,1.44,76,8.44,83.5,153,17.0,0,0,0,0
David Shirley,12,22,1.83,10,0.83,14,1.17,17,1.42,205,17.08,89.9,219,18.25,0,0,0,0
Nick Heid,5,1,0.2,13,2.6,4,0.8,7,1.4,80,16.0,89.9,88,17.6,0,0,0,0
Cole Jensen,12,4,0.33,7,0.58,9,0.75,14,1.17,42,3.5,89.4,111,9.25,0,0,0,0
Josef Van Kan,2,1,0.5,1,0.5,2,1.0,2,1.0,16,8.0,100.0,26,13.0,0,0,0,0
Ethan Rasmussen,10,10,1.0,16,1.6,8,0.8,9,0.9,218,21.8,90.8,209,20.9,0,0,0,0
Austin Lee,9,3,0.33,2,0.22,3,0.33,7,0.78,17,1.89,100.0,102,11.33,0,0,0,0
Brett Sullivan,8,5,0.63,1,0.13,3,0.38,6,0.75,45,5.63,97.8,118,14.75,0,0,0,0
Pete Carr,6,1,0.17,6,1.0,3,0.5,3,0.5,118,19.67,94.4,84,14.0,0,0,0,0
Luis Caballero,5,1,0.2,8,1.6,4,0.8,2,0.4,80,16.0,92.0,72,14.4,0,0,0,0
Robert Johnson,4,0,0.0,2,0.5,1,0.25,1,0.25,32,8.0,97.0,45,11.25,0,0,0,0
Dustin Rooffener,9,6,0.67,3,0.33,1,0.11,2,0.22,17,1.89,81.0,88,9.78,0,0,0,0
Pat Niles,7,3,0.43,6,0.86,4,0.57,0,0.0,76,10.86,89.4,102,14.57,0,0,0,0
Peter Schmitt,2,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,100.0,7,3.5,0,0,0,0
Jesse Bolton,3,3,1.0,4,1.33,2,0.67,0,0.0,78,26.0,91.8,61,20.33,0,0,0,0
Austin Lien,12,5,0.42,9,0.75,8,0.67,-2,-0.17,466,38.83,95.3,240,20.0,0,0,0,0
Tristan Grovender,8,1,0.13,7,0.88,0,0.0,-2,-0.25,206,25.75,95.4,134,16.75,0,0,0,0
Lou Abramowski,3,0,0.0,0,0.0,0,0.0,-2,-0.67,8,2.67,80.0,12,4.0,0,0,0,0
Tony Poletto,2,0,0.0,0,0.0,0,0.0,-2,-1.0,40,20.0,95.2,35,17.5,0,0,0,0
Gregory Arenson,2,0,0.0,1,0.5,0,0.0,-2,-1.0,23,11.5,92.0,27,13.5,0,0,0,0
John Groess,1,1,1.0,1,1.0,0,0.0,-1,-1.0,19,19.0,86.4,20,20.0,0,0,0,0
Pat Cashman,9,0,0.0,0,0.0,0,0.0,-11,-1.22,81,9.0,90.0,86,9.56,0,0,0,0
Ian Andre-Knudsen,4,2,0.5,5,1.25,1,0.25,-7,-1.75,164,41.0,92.7,72,18.0,0,0,0,0
Danny Hunt,4,1,0.25,3,0.75,3,0.75,-9,-2.25,48,12.0,75.0,69,17.25,0,0,0,0
Michael Petersen,1,0,0.0,0,0.0,0,0.0,-8,-8.0,11,11.0,61.1,16,16.0,0,0,0,0
