Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Kevin Quinlan,12,42,3.5,43,3.58,11,0.92,59,4.92,185,15.42,86.4,271,22.58,0,0,0,0
Antoine Lepagnol,7,17,2.43,20,2.86,2,0.29,31,4.43,70,10.0,92.1,124,17.71,0,0,0,0
Kevin Groulx,8,25,3.13,18,2.25,7,0.88,26,3.25,94,11.75,81.7,186,23.25,0,0,0,0
Félix-Antoine Daigle,13,24,1.85,28,2.15,21,1.62,34,2.62,579,44.54,94.0,330,25.38,0,0,0,0
André Arsenault,12,20,1.67,11,0.92,9,0.75,27,2.25,65,5.42,90.3,223,18.58,0,0,0,0
David Ferraro,7,8,1.14,5,0.71,11,1.57,15,2.14,37,5.29,84.1,129,18.43,0,0,0,0
Jean-Levy Champagne,11,7,0.64,10,0.91,12,1.09,23,2.09,95,8.64,95.0,196,17.82,0,0,0,0
Nasser M'Bae Vogel,2,5,2.5,4,2.0,0,0.0,4,2.0,29,14.5,85.3,43,21.5,0,0,0,0
Christian Mathieu,8,3,0.38,7,0.88,11,1.38,13,1.63,87,10.88,92.6,144,18.0,0,0,0,0
Raynald Nemours,12,7,0.58,11,0.92,16,1.33,19,1.58,193,16.08,93.2,265,22.08,0,0,0,0
Max Guy,12,10,0.83,7,0.58,9,0.75,18,1.5,74,6.17,94.9,212,17.67,0,0,0,0
Jean-Philippe Riopel,12,14,1.17,8,0.67,4,0.33,18,1.5,68,5.67,93.2,195,16.25,0,0,0,0
Yoland Cabot,9,18,2.0,19,2.11,5,0.56,13,1.44,155,17.22,86.1,217,24.11,0,0,0,0
Joseph Genest,12,21,1.75,2,0.17,6,0.5,15,1.25,31,2.58,79.5,190,15.83,0,0,0,0
Francis Breton,8,8,1.0,2,0.25,1,0.13,9,1.13,32,4.0,100.0,104,13.0,0,0,0,0
Charles Bariteau,14,9,0.64,4,0.29,6,0.43,15,1.07,43,3.07,95.6,232,16.57,0,0,0,0
Louis-Pierre Lauzon,1,0,0.0,1,1.0,0,0.0,1,1.0,3,3.0,100.0,12,12.0,0,0,0,0
Antoine Genest,14,20,1.43,41,2.93,5,0.36,13,0.93,400,28.57,89.1,361,25.79,0,0,0,0
Francis Vallée,12,8,0.67,8,0.67,10,0.83,11,0.92,156,13.0,91.8,176,14.67,0,0,0,0
Francois-Xavier Hotte,5,4,0.8,0,0.0,2,0.4,3,0.6,11,2.2,84.6,58,11.6,0,0,0,0
Danny Desbiens-Alary,7,2,0.29,2,0.29,3,0.43,4,0.57,29,4.14,90.6,93,13.29,0,0,0,0
Simon Ayotte,11,5,0.45,5,0.45,8,0.73,6,0.55,61,5.55,91.0,170,15.45,0,0,0,0
Fred Parenteau,9,2,0.22,2,0.22,7,0.78,4,0.44,32,3.56,84.2,121,13.44,0,0,0,0
Felix Marceau,8,4,0.5,2,0.25,2,0.25,2,0.25,13,1.63,81.3,116,14.5,0,0,0,0
Miguel Goderre,8,2,0.25,3,0.38,4,0.5,2,0.25,113,14.13,94.2,130,16.25,0,0,0,0
Philippe Thivierge,8,2,0.25,4,0.5,6,0.75,2,0.25,71,8.88,89.9,148,18.5,0,0,0,0
Nicolas Brochu,12,5,0.42,8,0.67,6,0.5,2,0.17,192,16.0,91.9,212,17.67,0,0,0,0
Shawn St-Jean Timmins,7,1,0.14,5,0.71,0,0.0,0,0.0,23,3.29,82.1,86,12.29,0,0,0,0
Gabriel Monfette,10,2,0.2,8,0.8,2,0.2,-3,-0.3,96,9.6,86.5,156,15.6,0,0,0,0
Olivier St-Denis,9,0,0.0,9,1.0,7,0.78,-9,-1.0,114,12.67,83.2,124,13.78,0,0,0,0
