Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Sacha Poitte- Sokolsky,4,22,5.5,6,1.5,2,0.5,24,6.0,67,16.75,93.1,78,19.5,1291,323,399,100
Malik Auger-Semmar,4,13,3.25,7,1.75,2,0.5,15,3.75,70,17.5,92.1,86,21.5,1299,325,367,92
Kevin Quinlan,4,10,2.5,9,2.25,3,0.75,12,3.0,95,23.75,93.1,78,19.5,762,191,580,145
André Arsenault,3,1,0.33,5,1.67,8,2.67,9,3.0,28,9.33,84.8,42,14.0,199,66,107,36
Jakob Brissette,4,3,0.75,15,3.75,3,0.75,11,2.75,166,41.5,94.9,83,20.75,44,11,1430,358
Christophe Tremblay-Joncas,4,0,0.0,3,0.75,9,2.25,10,2.5,34,8.5,97.1,72,18.0,385,96,249,62
Ywan Cohonner,3,1,0.33,2,0.67,4,1.33,7,2.33,9,3.0,100.0,43,14.33,111,37,21,7
Miguel Goderre,4,5,1.25,6,1.5,1,0.25,9,2.25,149,37.25,98.0,79,19.75,127,32,703,176
Gabriel Monfette,4,2,0.5,9,2.25,1,0.25,6,1.5,73,18.25,94.8,76,19.0,562,141,223,56
Basile Limoges,3,2,0.67,1,0.33,3,1.0,4,1.33,19,6.33,95.0,23,7.67,137,46,79,26
Vincent Lemieux,4,4,1.0,9,2.25,3,0.75,5,1.25,136,34.0,92.5,79,19.75,465,116,1055,264
Simon Charette,4,4,1.0,0,0.0,1,0.25,3,0.75,6,1.5,75.0,55,13.75,153,38,101,25
Thomas Lalonde-Landry,3,2,0.67,0,0.0,0,0.0,2,0.67,7,2.33,100.0,31,10.33,60,20,33,11
Felix Leonard,3,0,0.0,1,0.33,1,0.33,2,0.67,18,6.0,100.0,33,11.0,8,3,98,33
Olivier Bastien,3,2,0.67,0,0.0,1,0.33,2,0.67,2,0.67,66.7,24,8.0,90,30,21,7
Nabil Chaouch,2,1,0.5,0,0.0,3,1.5,1,0.5,9,4.5,90.0,39,19.5,154,77,-13,-7
Samuel Bisson,3,0,0.0,0,0.0,1,0.33,1,0.33,0,0.0,0.0,30,10.0,0,0,0,0
Thomas Duplaix,4,1,0.25,2,0.5,2,0.5,1,0.25,29,7.25,87.9,62,15.5,14,4,278,70
Vincent Gamache,3,1,0.33,0,0.0,0,0.0,0,0.0,12,4.0,92.3,20,6.67,-20,-7,76,25
Antoine Rousseau,3,2,0.67,0,0.0,1,0.33,0,0.0,26,8.67,89.7,39,13.0,76,25,63,21
Vincent Genest,3,1,0.33,0,0.0,0,0.0,0,0.0,2,0.67,100.0,19,6.33,33,11,-11,-4
Julien Sénéchal,4,0,0.0,0,0.0,1,0.25,-1,-0.25,11,2.75,84.6,35,8.75,70,18,10,3
Eliott Heloir,4,0,0.0,2,0.5,1,0.25,-4,-1.0,44,11.0,88.0,56,14.0,75,19,278,70
