Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Ben Jagt,16,55,3.44,66,4.13,14,0.88,91,5.69,327,20.44,89.8,427,26.69,0,0,0,0
Ben Katz,16,39,2.44,39,2.44,17,1.06,69,4.31,415,25.94,94.3,411,25.69,0,0,0,0
Mike Drost,15,19,1.27,11,0.73,25,1.67,46,3.07,148,9.87,94.9,323,21.53,0,0,0,0
Jeff Babbitt,15,27,1.8,9,0.6,23,1.53,44,2.93,139,9.27,92.7,327,21.8,0,0,0,0
Matt Stevens,17,40,2.35,8,0.47,2,0.12,47,2.76,112,6.59,98.2,258,15.18,0,0,0,0
Ryan Drost,14,17,1.21,6,0.43,17,1.21,36,2.57,86,6.14,95.6,274,19.57,0,0,0,0
Jibran Mieser,16,38,2.38,18,1.13,13,0.81,41,2.56,268,16.75,92.1,313,19.56,0,0,0,0
Beau Kittredge,15,22,1.47,18,1.2,12,0.8,37,2.47,311,20.73,96.0,320,21.33,0,0,0,0
Marques Brownlee,15,26,1.73,16,1.07,12,0.8,34,2.27,107,7.13,85.6,312,20.8,0,0,0,0
Alexi Zalk,2,1,0.5,2,1.0,1,0.5,4,2.0,9,4.5,100.0,26,13.0,0,0,0,0
Josue Alorro,17,21,1.24,42,2.47,12,0.71,34,2.0,573,33.71,93.9,406,23.88,0,0,0,0
Conor Kline,14,21,1.5,14,1.0,1,0.07,23,1.64,81,5.79,89.0,212,15.14,0,0,0,0
TJ Stanton,8,6,0.75,2,0.25,6,0.75,13,1.63,16,2.0,94.1,105,13.13,0,0,0,0
Matt Auletta,13,11,0.85,16,1.23,3,0.23,19,1.46,189,14.54,95.0,234,18.0,0,0,0,0
Joe Ouellette,6,4,0.67,2,0.33,3,0.5,8,1.33,11,1.83,91.7,66,11.0,0,0,0,0
Benjamin Spielman,12,5,0.42,3,0.25,9,0.75,16,1.33,53,4.42,100.0,158,13.17,0,0,0,0
Ross Ward,11,9,0.82,4,0.36,5,0.45,14,1.27,28,2.55,93.3,133,12.09,0,0,0,0
Matt LeMar,17,11,0.65,18,1.06,8,0.47,20,1.18,174,10.24,92.1,352,20.71,0,0,0,0
Matt Weintraub,13,3,0.23,16,1.23,2,0.15,15,1.15,179,13.77,96.8,212,16.31,0,0,0,0
Jacob Price,9,1,0.11,4,0.44,3,0.33,6,0.67,45,5.0,95.7,101,11.22,0,0,0,0
Harper Garvey,15,5,0.33,54,3.6,3,0.2,9,0.6,685,45.67,93.2,369,24.6,0,0,0,0
Frank Weng,7,2,0.29,1,0.14,3,0.43,4,0.57,25,3.57,92.6,68,9.71,0,0,0,0
Ryan Holmes,11,1,0.09,7,0.64,8,0.73,6,0.55,21,1.91,70.0,136,12.36,0,0,0,0
Lauren Doyle,2,1,0.5,0,0.0,0,0.0,1,0.5,12,6.0,100.0,21,10.5,0,0,0,0
Ryan Saffa,4,0,0.0,0,0.0,3,0.75,2,0.5,3,0.75,100.0,24,6.0,0,0,0,0
Noriaki To,3,1,0.33,1,0.33,0,0.0,1,0.33,5,1.67,83.3,28,9.33,0,0,0,0
Shashank Alladi,7,0,0.0,4,0.57,2,0.29,1,0.14,35,5.0,87.5,84,12.0,0,0,0,0
Peter Kalmakis,9,0,0.0,4,0.44,2,0.22,1,0.11,39,4.33,90.7,97,10.78,0,0,0,0
Alexander Isik,6,2,0.33,2,0.33,1,0.17,-1,-0.17,50,8.33,89.3,54,9.0,0,0,0,0
Elliot Lee,10,0,0.0,1,0.1,1,0.1,-2,-0.2,144,14.4,98.0,114,11.4,0,0,0,0
Ruo Ye,3,1,0.33,0,0.0,0,0.0,-1,-0.33,4,1.33,80.0,23,7.67,0,0,0,0
Tim Kominos,3,0,0.0,0,0.0,0,0.0,-3,-1.0,2,0.67,66.7,19,6.33,0,0,0,0
