Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Ben Jagt,6,22,3.67,26,4.33,8,1.33,44,7.33,139,23.17,92.7,160,26.67,2323,387,884,147
Ryan Osgar,6,18,3.0,31,5.17,1,0.17,39,6.5,163,27.17,94.8,133,22.17,1956,326,1257,210
John Lithio,5,17,3.4,4,0.8,4,0.8,21,4.2,61,12.2,95.3,96,19.2,1333,267,372,74
Jeff Babbitt,6,13,2.17,0,0.0,10,1.67,23,3.83,34,5.67,100.0,120,20.0,707,118,75,13
Jack Williams,5,10,2.0,12,2.4,0,0.0,16,3.2,201,40.2,97.6,125,25.0,1080,216,1030,206
Conor Kline,4,11,2.75,1,0.25,1,0.25,11,2.75,12,3.0,85.7,64,16.0,353,88,40,10
Matt Stevens,6,13,2.17,3,0.5,0,0.0,16,2.67,42,7.0,100.0,99,16.5,424,71,72,12
Elliott Chartock,5,3,0.6,22,4.4,2,0.4,12,2.4,291,58.2,95.1,105,21.0,652,130,2704,541
Marques Brownlee,4,1,0.25,4,1.0,5,1.25,7,1.75,13,3.25,81.3,60,15.0,192,48,227,57
Mike Drost,6,4,0.67,1,0.17,5,0.83,10,1.67,25,4.17,100.0,103,17.17,356,59,-89,-15
Nasser M'Bae Vogel,2,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,100.0,18,9.0,38,19,37,19
Ryan Drost,4,2,0.5,0,0.0,4,1.0,4,1.0,21,5.25,91.3,62,15.5,221,55,31,8
TJ Stanton,4,2,0.5,0,0.0,2,0.5,3,0.75,2,0.5,100.0,38,9.5,60,15,-11,-3
Josue Alorro,3,0,0.0,3,1.0,1,0.33,2,0.67,15,5.0,88.2,46,15.33,89,30,131,44
Solomon Rueschemeyer-Bailey,6,6,1.0,4,0.67,0,0.0,4,0.67,173,28.83,97.2,107,17.83,249,42,1353,226
Matt LaBar,4,0,0.0,2,0.5,0,0.0,2,0.5,6,1.5,100.0,32,8.0,41,10,55,14
Ben Katz,4,2,0.5,8,2.0,3,0.75,1,0.25,101,25.25,89.4,89,22.25,213,53,1115,279
Angelo Olcese,5,0,0.0,1,0.2,0,0.0,1,0.2,16,3.2,100.0,45,9.0,39,8,117,23
Joe Ouellette,5,2,0.4,0,0.0,0,0.0,1,0.2,3,0.6,75.0,42,8.4,49,10,33,7
Ryan Holmes,5,1,0.2,0,0.0,2,0.4,1,0.2,3,0.6,60.0,63,12.6,111,22,-34,-7
Sam Feder,6,3,0.5,1,0.17,1,0.17,1,0.17,23,3.83,85.2,80,13.33,247,41,56,9
Matt LeMar,6,1,0.17,4,0.67,0,0.0,0,0.0,44,7.33,89.8,86,14.33,20,3,517,86
Ryan Weaver,3,0,0.0,1,0.33,2,0.67,0,0.0,43,14.33,93.5,35,11.67,74,25,347,116
Noriaki To,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4,4.0,0,0,0,0
Kainoa Chun Moy,2,0,0.0,1,0.5,1,0.5,0,0.0,11,5.5,84.6,26,13.0,140,70,142,71
Elias Griffin,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,5.0,0,0,0,0
Matt Weintraub,5,0,0.0,2,0.4,0,0.0,0,0.0,34,6.8,94.4,55,11.0,-91,-18,398,80
Ben Nelson,1,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,100.0,13,13.0,-9,-9,43,43
