Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Alec Arsenault,13,51,3.92,21,1.62,13,1.0,66,5.08,166,12.77,91.7,314,24.15,0,0,0,0
Karl Loiseau,13,40,3.08,42,3.23,6,0.46,60,4.62,216,16.62,90.4,307,23.62,0,0,0,0
Paul Mensah,12,16,1.33,2,0.17,19,1.58,29,2.42,26,2.17,83.9,200,16.67,0,0,0,0
Derek Alexander,14,9,0.64,66,4.71,5,0.36,32,2.29,603,43.07,93.5,386,27.57,0,0,0,0
Jeremy Hill,8,12,1.5,8,1.0,5,0.63,18,2.25,59,7.38,89.4,169,21.13,0,0,0,0
Greg Ellis,13,32,2.46,23,1.77,7,0.54,26,2.0,262,20.15,89.7,348,26.77,0,0,0,0
Nick Boucher,13,14,1.08,27,2.08,15,1.15,25,1.92,223,17.15,89.2,336,25.85,0,0,0,0
Laurent Loiseau,10,24,2.4,13,1.3,4,0.4,19,1.9,90,9.0,85.7,230,23.0,0,0,0,0
Mike Lee,5,8,1.6,4,0.8,0,0.0,9,1.8,33,6.6,94.3,73,14.6,0,0,0,0
Paul Renaud,14,13,0.93,8,0.57,17,1.21,23,1.64,117,8.36,93.6,275,19.64,0,0,0,0
Adam O'Donnell,11,9,0.82,10,0.91,3,0.27,15,1.36,104,9.45,96.3,166,15.09,0,0,0,0
Andrew Ouchterlony,11,8,0.73,8,0.73,7,0.64,14,1.27,100,9.09,91.7,224,20.36,0,0,0,0
Khalid Al-Zahrani,14,10,0.71,3,0.21,10,0.71,17,1.21,51,3.64,92.7,229,16.36,0,0,0,0
Bryce Ring,12,9,0.75,17,1.42,5,0.42,14,1.17,301,25.08,95.3,263,21.92,0,0,0,0
Matt O'Brien,14,15,1.07,5,0.36,10,0.71,15,1.07,66,4.71,88.0,255,18.21,0,0,0,0
Patrick Keenan,5,1,0.2,3,0.6,4,0.8,5,1.0,18,3.6,90.0,58,11.6,0,0,0,0
Aidan Hayter,8,2,0.25,2,0.25,5,0.63,8,1.0,18,2.25,100.0,110,13.75,0,0,0,0
Tait Becke,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0.0,14,14.0,0,0,0,0
Ken Alexander,11,14,1.27,13,1.18,2,0.18,10,0.91,161,14.64,92.5,221,20.09,0,0,0,0
Geoff Bevan,11,5,0.45,17,1.55,5,0.45,9,0.82,86,7.82,82.7,219,19.91,0,0,0,0
David Colic,3,2,0.67,1,0.33,0,0.0,2,0.67,6,2.0,100.0,25,8.33,0,0,0,0
Kyle Cantal,13,5,0.38,2,0.15,6,0.46,8,0.62,42,3.23,91.3,177,13.62,0,0,0,0
Erik Hunter,11,9,0.82,6,0.55,1,0.09,6,0.55,59,5.36,88.1,161,14.64,0,0,0,0
Scott Graham,2,2,1.0,0,0.0,1,0.5,1,0.5,3,1.5,60.0,26,13.0,0,0,0,0
Etienne Blaszkewycz,3,0,0.0,0,0.0,1,0.33,1,0.33,3,1.0,100.0,29,9.67,0,0,0,0
Carson Turner,8,4,0.5,4,0.5,5,0.63,2,0.25,61,7.63,85.9,164,20.5,0,0,0,0
Ryan Wallace,1,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,100.0,11,11.0,0,0,0,0
Tyler Sadler,11,3,0.27,11,1.0,5,0.45,-3,-0.27,113,10.27,84.3,190,17.27,0,0,0,0
Colin Froats,7,0,0.0,0,0.0,0,0.0,-2,-0.29,17,2.43,94.4,74,10.57,0,0,0,0
Kinley Gee,3,2,0.67,2,0.67,0,0.0,-1,-0.33,35,11.67,87.5,33,11.0,0,0,0,0
Lance Blackstock,4,0,0.0,0,0.0,0,0.0,-2,-0.5,7,1.75,87.5,44,11.0,0,0,0,0
