Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Nick Boucher,3,6,2.0,16,5.33,4,1.33,17,5.67,135,45.0,93.8,68,22.67,653,218,1475,492
Geoff Bevan,3,7,2.33,13,4.33,2,0.67,15,5.0,102,34.0,95.3,63,21.0,322,107,978,326
Jeremy Hill,5,18,3.6,9,1.8,3,0.6,21,4.2,67,13.4,88.2,111,22.2,1202,240,589,118
Mike Lee,3,3,1.0,13,4.33,1,0.33,12,4.0,50,16.67,90.9,53,17.67,427,142,513,171
Paul Renaud,3,7,2.33,4,1.33,3,1.0,12,4.0,44,14.67,97.8,51,17.0,660,220,229,76
Alec Arsenault,4,15,3.75,7,1.75,2,0.5,15,3.75,70,17.5,93.3,82,20.5,1038,260,536,134
David Colic,5,14,2.8,5,1.0,5,1.0,18,3.6,35,7.0,85.4,91,18.2,1158,232,238,48
Andrew Ouchterlony,2,3,1.5,1,0.5,2,1.0,6,3.0,10,5.0,100.0,30,15.0,333,167,43,22
Ryan Poloz,5,5,1.0,9,1.8,0,0.0,11,2.2,115,23.0,97.5,87,17.4,410,82,904,181
Carson Turner,5,4,0.8,4,0.8,10,2.0,11,2.2,43,8.6,87.8,105,21.0,300,60,411,82
Simon Walker,1,0,0.0,1,1.0,1,1.0,2,2.0,5,5.0,100.0,12,12.0,23,23,22,22
Brandon Adibe,5,4,0.8,3,0.6,2,0.4,7,1.4,6,1.2,100.0,83,16.6,314,63,6,1
Braedan Robinson,3,1,0.33,1,0.33,2,0.67,4,1.33,6,2.0,100.0,35,11.67,99,33,30,10
Curtis Campbell,4,1,0.25,0,0.0,4,1.0,4,1.0,3,0.75,75.0,43,10.75,80,20,47,12
Jon Hallett,3,2,0.67,1,0.33,1,0.33,3,1.0,5,1.67,83.3,36,12.0,93,31,-10,-3
Rhys Toogood,4,2,0.5,3,0.75,1,0.25,3,0.75,51,12.75,96.2,59,14.75,73,18,344,86
Dan Benvenuti,3,2,0.67,1,0.33,0,0.0,2,0.67,8,2.67,100.0,46,15.33,221,74,27,9
Erich Phang-Lynn,3,0,0.0,1,0.33,1,0.33,2,0.67,5,1.67,100.0,38,12.67,21,7,56,19
Kyle Cantal,5,1,0.2,0,0.0,3,0.6,3,0.6,12,2.4,92.3,72,14.4,61,12,43,9
Jake Lochhead,2,0,0.0,3,1.5,0,0.0,1,0.5,18,9.0,90.0,30,15.0,59,30,311,156
Matt O'Brien,5,5,1.0,0,0.0,0,0.0,2,0.4,26,5.2,96.3,96,19.2,303,61,78,16
Greg Ellis,4,4,1.0,9,2.25,2,0.5,0,0.0,118,29.5,90.1,90,22.5,358,90,1177,294
Bryce Ring,3,0,0.0,0,0.0,0,0.0,0,0.0,10,3.33,100.0,37,12.33,18,6,17,6
Erik Hunter,2,0,0.0,2,1.0,0,0.0,0,0.0,8,4.0,80.0,27,13.5,62,31,125,63
Ian Wallace,1,0,0.0,0,0.0,1,1.0,0,0.0,4,4.0,80.0,13,13.0,72,72,23,23
Desmond Staples,3,1,0.33,1,0.33,0,0.0,0,0.0,9,3.0,90.0,32,10.67,22,7,103,34
Jonah Munoz,4,3,0.75,0,0.0,0,0.0,-1,-0.25,28,7.0,87.5,66,16.5,243,61,206,52
Cameron Kennedy,2,0,0.0,0,0.0,0,0.0,-1,-0.5,0,0.0,0.0,20,10.0,9,5,0,0
Kyle Hunter,2,0,0.0,1,0.5,0,0.0,-1,-0.5,7,3.5,77.8,22,11.0,19,10,67,34
Thomas Stanton,2,0,0.0,0,0.0,1,0.5,-2,-1.0,2,1.0,40.0,24,12.0,20,10,14,7
Alex Cameron,1,0,0.0,0,0.0,0,0.0,-1,-1.0,4,4.0,80.0,16,16.0,-22,-22,25,25
