Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Matt Esser,17,47,2.76,38,2.24,37,2.18,74,4.35,294,17.29,87.5,348,20.47,0,0,0,0
David Hampson,17,32,1.88,9,0.53,9,0.53,38,2.24,96,5.65,94.1,172,10.12,0,0,0,0
Mike Reeves,17,17,1.0,14,0.82,10,0.59,31,1.82,68,4.0,90.7,185,10.88,0,0,0,0
Ken Wells,17,23,1.35,5,0.29,10,0.59,27,1.59,49,2.88,86.0,179,10.53,0,0,0,0
Rob Allan,17,12,0.71,1,0.06,7,0.41,16,0.94,48,2.82,96.0,159,9.35,0,0,0,0
Matt Stavinga,17,7,0.41,10,0.59,10,0.59,15,0.88,75,4.41,89.3,151,8.88,0,0,0,0
William Hoehne,17,13,0.76,7,0.41,12,0.71,14,0.82,63,3.71,80.8,178,10.47,0,0,0,0
Jonathan Palumbo,17,11,0.65,7,0.41,11,0.65,13,0.76,66,3.88,86.8,156,9.18,0,0,0,0
Charles Harrity,17,12,0.71,12,0.71,5,0.29,13,0.76,42,2.47,75.0,154,9.06,0,0,0,0
Breton Dietrich,17,5,0.29,22,1.29,13,0.76,11,0.65,159,9.35,86.4,206,12.12,0,0,0,0
Ryan Forster,13,10,0.77,2,0.15,5,0.38,8,0.62,41,3.15,89.1,64,4.92,0,0,0,0
Sam Esser,17,12,0.71,1,0.06,5,0.29,8,0.47,59,3.47,89.4,101,5.94,0,0,0,0
David Brandolph,17,12,0.71,70,4.12,11,0.65,8,0.47,615,36.18,88.6,300,17.65,0,0,0,0
Matt Hurray,17,2,0.12,2,0.12,3,0.18,5,0.29,10,0.59,83.3,33,1.94,0,0,0,0
Sam Morgan,17,8,0.47,4,0.24,6,0.35,4,0.24,96,5.65,87.3,150,8.82,0,0,0,0
Sean Anderson,17,7,0.41,2,0.12,4,0.24,3,0.18,60,3.53,89.6,111,6.53,0,0,0,0
Nick Ongpauco,17,3,0.18,10,0.59,6,0.35,2,0.12,164,9.65,93.2,134,7.88,0,0,0,0
Zach Thurston,17,4,0.24,8,0.47,11,0.65,2,0.12,230,13.53,92.7,277,16.29,0,0,0,0
Nicolas LoPresto,17,1,0.06,0,0.0,1,0.06,1,0.06,2,0.12,100.0,11,0.65,0,0,0,0
Brett Sawyer,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
Sam Cocchia,17,1,0.06,2,0.12,0,0.0,-2,-0.12,14,0.82,77.8,38,2.24,0,0,0,0
John Stavinga,17,3,0.18,8,0.47,8,0.47,-2,-0.12,211,12.41,92.5,157,9.24,0,0,0,0
Kevin Chiang,17,2,0.12,10,0.59,7,0.41,-2,-0.12,69,4.06,80.2,100,5.88,0,0,0,0
Stephen Magerr,17,4,0.24,0,0.0,1,0.06,-2,-0.12,27,1.59,87.1,96,5.65,0,0,0,0
Mike Coughlin,17,2,0.12,4,0.24,3,0.18,-4,-0.24,188,11.06,94.0,179,10.53,0,0,0,0
Kyle Wolf,17,7,0.41,17,1.0,10,0.59,-9,-0.53,206,12.12,84.4,145,8.53,0,0,0,0
