Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Greg Martin,9,38,4.22,11,1.22,4,0.44,46,5.11,122,13.56,96.8,175,19.44,2346,261,171,19
Casey Thornton,1,2,2.0,1,1.0,0,0.0,3,3.0,33,33.0,100.0,19,19.0,148,148,95,95
Sean Mott,9,16,1.78,27,3.0,2,0.22,26,2.89,310,34.44,94.5,194,21.56,1771,197,2151,239
Mike Arcata,9,9,1.0,31,3.44,3,0.33,21,2.33,189,21.0,90.4,159,17.67,1651,183,1783,198
Nate Little,9,9,1.0,2,0.22,8,0.89,14,1.56,14,1.56,82.4,111,12.33,425,47,108,12
Marc Sands,4,6,1.5,6,1.5,2,0.5,6,1.5,74,18.5,90.2,70,17.5,621,155,486,122
Eric Witmer,9,8,0.89,7,0.78,6,0.67,13,1.44,61,6.78,91.0,156,17.33,688,76,641,71
Paul Owens,9,9,1.0,7,0.78,2,0.22,13,1.44,115,12.78,96.6,156,17.33,468,52,826,92
Brandon Pastor,7,7,1.0,2,0.29,2,0.29,10,1.43,27,3.86,96.4,97,13.86,463,66,97,14
Colin Masino,8,1,0.13,4,0.5,9,1.13,11,1.38,33,4.13,91.7,126,15.75,244,31,159,20
Alex Thorne,6,6,1.0,12,2.0,0,0.0,8,1.33,216,36.0,95.6,110,18.33,637,106,1512,252
Brandon Lamberty,1,0,0.0,1,1.0,2,2.0,1,1.0,8,8.0,80.0,14,14.0,5,5,26,26
Scott Heyman,9,8,0.89,6,0.67,3,0.33,9,1.0,77,8.56,92.8,145,16.11,842,94,493,55
Jake Butrica,8,5,0.63,8,1.0,3,0.38,8,1.0,84,10.5,91.3,98,12.25,269,34,570,71
Dustin Damiano,8,2,0.25,16,2.0,0,0.0,7,0.88,346,43.25,96.9,152,19.0,265,33,2849,356
James Pollard,7,3,0.43,3,0.43,5,0.71,6,0.86,32,4.57,86.5,85,12.14,302,43,368,53
Matt Hanna,7,8,1.14,2,0.29,0,0.0,5,0.71,67,9.57,93.1,104,14.86,1082,155,129,18
Matt Esser,6,3,0.5,2,0.33,1,0.17,4,0.67,27,4.5,96.4,75,12.5,154,26,164,27
Matthew Glazer,5,8,1.6,3,0.6,0,0.0,3,0.6,65,13.0,94.2,77,15.4,743,149,196,39
Nicholas DiGiorgio,8,5,0.63,1,0.13,3,0.38,3,0.38,31,3.88,88.6,100,12.5,336,42,132,17
Eric Nardelli,9,6,0.67,3,0.33,5,0.56,2,0.22,106,11.78,90.6,149,16.56,319,35,636,71
Allan Michel,9,0,0.0,2,0.22,3,0.33,2,0.22,33,3.67,97.1,101,11.22,274,30,25,3
Austin Lillis,2,0,0.0,0,0.0,0,0.0,0,0.0,12,6.0,100.0,20,10.0,-16,-8,84,42
Jimi O'Connell,2,0,0.0,0,0.0,0,0.0,0,0.0,3,1.5,100.0,17,8.5,5,3,-7,-4
Matthew Ballman,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,11,11.0,20,20,11,11
Max Charles,7,3,0.43,7,1.0,0,0.0,0,0.0,124,17.71,92.5,101,14.43,570,81,856,122
Connor Boyle,1,1,1.0,0,0.0,0,0.0,0,0.0,9,9.0,90.0,6,6.0,-12,-12,52,52
Ian Dietrich,4,0,0.0,0,0.0,1,0.25,-1,-0.25,15,3.75,88.2,55,13.75,97,24,29,7
Matt Ellis,5,1,0.2,0,0.0,1,0.2,-3,-0.6,15,3.0,75.0,37,7.4,15,3,108,22
Andrew Seibert,1,0,0.0,0,0.0,1,1.0,-1,-1.0,0,0.0,0.0,10,10.0,10,10,0,0
