Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Max Sheppard,8,26,3.25,24,3.0,4,0.5,38,4.75,164,20.5,92.1,183,22.88,2023,253,963,120
CJ Colicchio,8,24,3.0,22,2.75,10,1.25,35,4.38,154,19.25,89.5,185,23.13,1908,239,1262,158
Jimmy Towle,8,17,2.13,21,2.63,4,0.5,30,3.75,143,17.88,94.1,175,21.88,1756,220,935,117
Thomas Edmonds,7,12,1.71,15,2.14,2,0.29,17,2.43,375,53.57,97.7,167,23.86,1491,213,1979,283
Anson Reppermund,8,9,1.13,4,0.5,11,1.38,18,2.25,39,4.88,88.6,138,17.25,768,96,295,37
Connor Newell,7,14,2.0,9,1.29,2,0.29,12,1.71,117,16.71,90.0,145,20.71,1131,162,634,91
Kenny Furdella,2,2,1.0,2,1.0,1,0.5,3,1.5,45,22.5,97.8,30,15.0,58,29,376,188
Clint McSherry,4,2,0.5,4,1.0,0,0.0,5,1.25,27,6.75,96.4,50,12.5,60,15,189,47
Steve Mogielski,7,6,0.86,0,0.0,4,0.57,8,1.14,7,1.0,77.8,81,11.57,258,37,23,3
Myles Cooper,6,1,0.17,0,0.0,6,1.0,6,1.0,11,1.83,100.0,68,11.33,75,13,16,3
Owen Watt,5,6,1.2,7,1.4,3,0.6,5,1.0,40,8.0,81.6,94,18.8,588,118,527,105
Donald Robinson,1,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,100.0,12,12.0,0,0,13,13
Pete Zaccardi,8,6,0.75,6,0.75,5,0.63,6,0.75,196,24.5,94.7,152,19.0,273,34,912,114
Anthony Davis,6,5,0.83,0,0.0,2,0.33,4,0.67,14,2.33,87.5,75,12.5,284,47,15,3
Thomas Hansen,2,0,0.0,0,0.0,1,0.5,1,0.5,4,2.0,100.0,20,10.0,92,46,-29,-15
Adam Burgess,4,4,1.0,4,1.0,2,0.5,2,0.5,118,29.5,94.4,88,22.0,208,52,489,122
Kevin O'Brien,4,0,0.0,2,0.5,0,0.0,2,0.5,6,1.5,100.0,40,10.0,27,7,116,29
Tristan Yarter,6,3,0.5,5,0.83,4,0.67,3,0.5,51,8.5,86.4,87,14.5,264,44,369,62
Clayton Carey,2,0,0.0,0,0.0,1,0.5,1,0.5,1,0.5,100.0,20,10.0,5,3,14,7
Evan Howey,2,0,0.0,0,0.0,1,0.5,1,0.5,4,2.0,100.0,23,11.5,47,24,5,3
Chris Graber,5,2,0.4,1,0.2,1,0.2,2,0.4,4,0.8,66.7,74,14.8,175,35,4,1
Alan Gruntz,6,2,0.33,1,0.17,0,0.0,1,0.17,3,0.5,60.0,68,11.33,50,8,13,2
Sam VanDusen,8,4,0.5,16,2.0,4,0.5,1,0.13,129,16.13,85.4,178,22.25,693,87,1440,180
Benjamin Attal,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,11,11.0,0,0,0,0
Patrick McMullen,8,2,0.25,2,0.25,0,0.0,0,0.0,75,9.38,97.4,100,12.5,110,14,463,58
Josh Graber,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,12.0,0,0,0,0
Nick Nagel,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,23,11.5,6,3,0,0
Cam Bellando,2,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,100.0,23,11.5,1,1,-4,-2
Sam Gabrielson,3,0,0.0,0,0.0,0,0.0,0,0.0,9,3.0,100.0,36,12.0,25,8,19,6
Benjamin Thompsen,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,10,10.0,0,0,0,0
Andrew Thompson,4,0,0.0,0,0.0,0,0.0,-1,-0.25,2,0.5,66.7,42,10.5,16,4,3,1
Jonathan Mast,4,1,0.25,5,1.25,0,0.0,-1,-0.25,228,57.0,97.0,91,22.75,-14,-4,1300,325
John Buss,2,0,0.0,0,0.0,0,0.0,-1,-0.5,2,1.0,66.7,18,9.0,11,6,7,4
Harry Mcnamara,7,2,0.29,1,0.14,1,0.14,-4,-0.57,57,8.14,93.4,98,14.0,158,23,286,41
