Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jack Williams,8,30,3.75,18,2.25,4,0.5,39,4.88,118,14.75,92.2,186,23.25,0,0,0,0
Justin Allen,15,45,3.0,43,2.87,13,0.87,60,4.0,226,15.07,85.9,383,25.53,0,0,0,0
Jonathan Nethercutt,11,12,1.09,50,4.55,10,0.91,37,3.36,484,44.0,93.8,287,26.09,0,0,0,0
Brian Casey,14,18,1.29,41,2.93,11,0.79,44,3.14,420,30.0,94.6,310,22.14,0,0,0,0
Terrence Mitchell,15,32,2.13,25,1.67,8,0.53,44,2.93,195,13.0,93.3,321,21.4,0,0,0,0
Jordan Huston,7,18,2.57,6,0.86,3,0.43,20,2.86,84,12.0,94.4,142,20.29,0,0,0,0
David Snoke,8,15,1.88,17,2.13,6,0.75,21,2.63,269,33.63,95.1,169,21.13,0,0,0,0
Noah Saul,6,3,0.5,18,3.0,11,1.83,15,2.5,175,29.17,91.1,165,27.5,0,0,0,0
Hunter Taylor,8,10,1.25,2,0.25,12,1.5,19,2.38,44,5.5,93.6,157,19.63,0,0,0,0
Ben Dieter,9,16,1.78,15,1.67,4,0.44,21,2.33,169,18.78,94.9,210,23.33,0,0,0,0
Mark Lin,9,14,1.56,7,0.78,5,0.56,18,2.0,57,6.33,87.7,124,13.78,0,0,0,0
Jake Coleman,12,10,0.83,2,0.17,16,1.33,22,1.83,22,1.83,88.0,203,16.92,0,0,0,0
Tommy Lamar,7,12,1.71,4,0.57,5,0.71,12,1.71,75,10.71,91.5,120,17.14,0,0,0,0
Brian Clark,11,7,0.64,3,0.27,12,1.09,18,1.64,33,3.0,94.3,141,12.82,0,0,0,0
Jarrett Bowen,9,17,1.89,9,1.0,2,0.22,14,1.56,82,9.11,90.1,140,15.56,0,0,0,0
Josh Hartzog,14,10,0.71,4,0.29,15,1.07,21,1.5,55,3.93,93.2,205,14.64,0,0,0,0
Joey Cretella,10,10,1.0,7,0.7,11,1.1,14,1.4,110,11.0,94.8,215,21.5,0,0,0,0
Matt Mason,5,2,0.4,3,0.6,4,0.8,7,1.4,17,3.4,94.4,59,11.8,0,0,0,0
Jacob Mouw,9,11,1.22,2,0.22,1,0.11,12,1.33,45,5.0,95.7,100,11.11,0,0,0,0
David Richardson,14,7,0.5,1,0.07,18,1.29,18,1.29,30,2.14,88.2,220,15.71,0,0,0,0
JD Hastings,8,6,0.75,7,0.88,2,0.25,10,1.25,57,7.13,91.9,123,15.38,0,0,0,0
Tim McAllister,13,8,0.62,11,0.85,7,0.54,16,1.23,51,3.92,87.9,252,19.38,0,0,0,0
Xavier Maxstadt,6,3,0.5,10,1.67,3,0.5,7,1.17,85,14.17,91.4,96,16.0,0,0,0,0
Ryan Sitler,13,8,0.62,12,0.92,5,0.38,14,1.08,141,10.85,94.0,236,18.15,0,0,0,0
Peter van de Burgt,6,2,0.33,0,0.0,5,0.83,6,1.0,10,1.67,90.9,60,10.0,0,0,0,0
Michael Baer,2,0,0.0,1,0.5,1,0.5,2,1.0,6,3.0,100.0,17,8.5,0,0,0,0
Chris LaRocque,7,4,0.57,9,1.29,12,1.71,7,1.0,100,14.29,88.5,163,23.29,0,0,0,0
Michael Neve,10,6,0.6,8,0.8,1,0.1,9,0.9,77,7.7,96.3,149,14.9,0,0,0,0
Kiron Allen,5,2,0.4,3,0.6,0,0.0,3,0.6,58,11.6,98.3,63,12.6,0,0,0,0
Stephen Bender,8,2,0.25,3,0.38,3,0.38,4,0.5,20,2.5,95.2,106,13.25,0,0,0,0
Tristan Green,9,3,0.33,3,0.33,4,0.44,3,0.33,86,9.56,92.5,108,12.0,0,0,0,0
J Bender,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100.0,1,1.0,0,0,0,0
Michael Zhou,5,0,0.0,0,0.0,0,0.0,-6,-1.2,13,2.6,81.3,51,10.2,0,0,0,0
J Patell,1,0,0.0,0,0.0,0,0.0,-3,-3.0,2,2.0,40.0,21,21.0,0,0,0,0
