Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jonathan Nethercutt,9,9,1.0,60,6.67,8,0.89,52,5.78,469,52.11,94.9,243,27.0,0,0,0,0
Jonathan Helton,7,20,2.86,28,4.0,5,0.71,38,5.43,124,17.71,90.5,150,21.43,0,0,0,0
Mischa Freystaetter,13,37,2.85,34,2.62,13,1.0,70,5.38,214,16.46,95.5,292,22.46,0,0,0,0
Jack Williams,13,41,3.15,51,3.92,8,0.62,69,5.31,555,42.69,95.2,346,26.62,0,0,0,0
Jacob Fairfax,11,48,4.36,10,0.91,7,0.64,55,5.0,163,14.82,96.4,251,22.82,0,0,0,0
Terrence Mitchell,15,41,2.73,12,0.8,4,0.27,47,3.13,140,9.33,94.0,294,19.6,0,0,0,0
Noah Saul,13,13,1.0,31,2.38,17,1.31,37,2.85,313,24.08,93.2,315,24.23,0,0,0,0
Ben Dieter,3,8,2.67,0,0.0,2,0.67,8,2.67,35,11.67,94.6,47,15.67,0,0,0,0
Shane Sisco,12,18,1.5,15,1.25,10,0.83,31,2.58,133,11.08,91.7,239,19.92,0,0,0,0
Charlie Muniz,9,11,1.22,12,1.33,3,0.33,23,2.56,77,8.56,96.3,146,16.22,0,0,0,0
Jacob Mouw,11,14,1.27,10,0.91,6,0.55,24,2.18,106,9.64,96.4,187,17.0,0,0,0,0
Jakeem Polk,11,9,0.82,3,0.27,12,1.09,23,2.09,26,2.36,96.3,159,14.45,0,0,0,0
Vikram Sethuraman,2,0,0.0,3,1.5,1,0.5,4,2.0,10,5.0,100.0,31,15.5,0,0,0,0
Mike Pannone,12,17,1.42,2,0.17,7,0.58,23,1.92,26,2.17,92.9,153,12.75,0,0,0,0
Hunter Taylor,6,4,0.67,2,0.33,6,1.0,11,1.83,26,4.33,96.3,94,15.67,0,0,0,0
Josh Hartzog,11,8,0.73,13,1.18,2,0.18,20,1.82,47,4.27,94.0,188,17.09,0,0,0,0
Bob Liu,11,9,0.82,25,2.27,4,0.36,20,1.82,494,44.91,96.5,244,22.18,0,0,0,0
Justin Allen,11,9,0.82,8,0.73,6,0.55,18,1.64,78,7.09,94.0,202,18.36,0,0,0,0
David Snoke,5,3,0.6,10,2.0,4,0.8,8,1.6,137,27.4,93.8,91,18.2,0,0,0,0
David Richardson,13,8,0.62,2,0.15,19,1.46,19,1.46,47,3.62,87.0,219,16.85,0,0,0,0
Allan Laviolette,3,2,0.67,2,0.67,1,0.33,4,1.33,54,18.0,98.2,58,19.33,0,0,0,0
Brett Matzuka,10,8,0.8,14,1.4,5,0.5,13,1.3,393,39.3,97.3,227,22.7,0,0,0,0
Alexander Taylor,6,7,1.17,1,0.17,4,0.67,7,1.17,94,15.67,94.9,111,18.5,0,0,0,0
Matt Ellis,12,6,0.5,6,0.5,6,0.5,13,1.08,50,4.17,92.6,148,12.33,0,0,0,0
Jordan Perry,3,1,0.33,4,1.33,1,0.33,3,1.0,39,13.0,92.9,38,12.67,0,0,0,0
Matthew Wilson,1,0,0.0,0,0.0,1,1.0,1,1.0,3,3.0,100.0,19,19.0,0,0,0,0
Josh Smith,1,1,1.0,0,0.0,1,1.0,1,1.0,6,6.0,85.7,14,14.0,0,0,0,0
Andrew McKelvey,13,4,0.31,3,0.23,7,0.54,12,0.92,40,3.08,97.6,161,12.38,0,0,0,0
Matt Bode,10,3,0.3,3,0.3,8,0.8,9,0.9,76,7.6,93.8,165,16.5,0,0,0,0
Joey Cretella,7,6,0.86,5,0.71,4,0.57,6,0.86,40,5.71,87.0,102,14.57,0,0,0,0
Kiron Allen,14,16,1.14,7,0.5,1,0.07,12,0.86,278,19.86,95.9,237,16.93,0,0,0,0
Jeff Nordgren,4,1,0.25,0,0.0,2,0.5,3,0.75,15,3.75,100.0,48,12.0,0,0,0,0
Johnnie Lynch,11,6,0.55,0,0.0,8,0.73,5,0.45,20,1.82,83.3,101,9.18,0,0,0,0
Ryan Werkmeister,7,3,0.43,1,0.14,0,0.0,1,0.14,35,5.0,92.1,93,13.29,0,0,0,0
Mike Ball,4,0,0.0,1,0.25,1,0.25,0,0.0,16,4.0,88.9,54,13.5,0,0,0,0
Clint McSherry,3,1,0.33,1,0.33,0,0.0,0,0.0,19,6.33,95.0,40,13.33,0,0,0,0
Tristan Green,5,0,0.0,7,1.4,0,0.0,0,0.0,57,11.4,89.1,83,16.6,0,0,0,0
