Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Travis Dunn,13,32,2.46,26,2.0,17,1.31,55,4.23,177,13.62,90.3,346,26.62,0,0,0,0
Nathan Bridges,12,25,2.08,17,1.42,8,0.67,38,3.17,264,22.0,95.7,283,23.58,0,0,0,0
Steven Milardovich,14,21,1.5,27,1.93,27,1.93,42,3.0,221,15.79,88.0,361,25.79,0,0,0,0
Casey Wu,12,32,2.67,13,1.08,2,0.17,33,2.75,149,12.42,93.7,216,18.0,0,0,0,0
Maxwell Hume,10,24,2.4,9,0.9,1,0.1,25,2.5,73,7.3,92.4,165,16.5,0,0,0,0
Will Griffin,12,11,0.92,40,3.33,13,1.08,29,2.42,463,38.58,93.7,333,27.75,0,0,0,0
Zeke Ivers,11,18,1.64,19,1.73,5,0.45,22,2.0,201,18.27,92.6,229,20.82,0,0,0,0
Nikhar Abbas,1,1,1.0,0,0.0,1,1.0,2,2.0,0,0.0,0.0,16,16.0,0,0,0,0
Dominic Leggio,8,8,1.0,15,1.88,7,0.88,14,1.75,379,47.38,96.4,189,23.63,0,0,0,0
Jesse Cohen,14,21,1.5,24,1.71,7,0.5,22,1.57,259,18.5,90.2,271,19.36,0,0,0,0
Daniel Bellissimo,8,8,1.0,5,0.63,5,0.63,12,1.5,27,3.38,84.4,133,16.63,0,0,0,0
Matt Parisi,13,13,1.0,22,1.69,5,0.38,19,1.46,209,16.08,92.1,287,22.08,0,0,0,0
Benet Clark,13,14,1.08,9,0.69,10,0.77,19,1.46,114,8.77,91.9,232,17.85,0,0,0,0
Mark Slader,8,5,0.63,4,0.5,4,0.5,11,1.38,34,4.25,97.1,108,13.5,0,0,0,0
Alec Benton,12,11,0.92,15,1.25,9,0.75,16,1.33,94,7.83,84.7,270,22.5,0,0,0,0
Trevor Purdy,1,1,1.0,0,0.0,1,1.0,1,1.0,1,1.0,50.0,14,14.0,0,0,0,0
Kory Helms,1,1,1.0,0,0.0,0,0.0,1,1.0,5,5.0,100.0,11,11.0,0,0,0,0
Brian Zid,12,12,1.0,10,0.83,1,0.08,11,0.92,142,11.83,92.8,165,13.75,0,0,0,0
Xavier Ching,11,2,0.18,0,0.0,9,0.82,9,0.82,18,1.64,94.7,137,12.45,0,0,0,0
Pete Overright,8,1,0.13,1,0.13,6,0.75,6,0.75,4,0.5,66.7,115,14.38,0,0,0,0
Chris Liu,6,3,0.5,1,0.17,1,0.17,4,0.67,22,3.67,95.7,67,11.17,0,0,0,0
Benjamin Eto,6,3,0.5,2,0.33,1,0.17,3,0.5,83,13.83,96.5,60,10.0,0,0,0,0
Justin Goodman,3,2,0.67,1,0.33,0,0.0,1,0.33,24,8.0,92.3,29,9.67,0,0,0,0
Cody Kirkland,7,3,0.43,14,2.0,2,0.29,2,0.29,210,30.0,92.5,154,22.0,0,0,0,0
Josh Nickerson,14,10,0.71,3,0.21,6,0.43,3,0.21,54,3.86,80.6,248,17.71,0,0,0,0
Kyle Olson,6,1,0.17,0,0.0,0,0.0,0,0.0,10,1.67,90.9,50,8.33,0,0,0,0
Nicholas Smith,13,1,0.08,9,0.69,3,0.23,0,0.0,98,7.54,89.1,188,14.46,0,0,0,0
Ryan Slaughter,11,8,0.73,3,0.27,1,0.09,-1,-0.09,267,24.27,96.4,202,18.36,0,0,0,0
Andy Sammons,9,3,0.33,4,0.44,2,0.22,-2,-0.22,181,20.11,94.3,123,13.67,0,0,0,0
Ross Lenta,4,1,0.25,1,0.25,0,0.0,-1,-0.25,37,9.25,94.9,47,11.75,0,0,0,0
Mischa Horowitz,2,0,0.0,0,0.0,0,0.0,-1,-0.5,16,8.0,94.1,11,5.5,0,0,0,0
David Flock,1,0,0.0,0,0.0,0,0.0,-1,-1.0,5,5.0,100.0,11,11.0,0,0,0,0
