Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Hunter Corbett,10,32,3.2,30,3.0,11,1.1,49,4.9,277,27.7,93.0,255,25.5,0,0,0,0
Sean Ham,14,46,3.29,18,1.29,8,0.57,63,4.5,240,17.14,97.6,326,23.29,0,0,0,0
Jesse Cohen,14,29,2.07,33,2.36,12,0.86,55,3.93,275,19.64,94.5,275,19.64,0,0,0,0
Travis Dunn,13,37,2.85,31,2.38,6,0.46,44,3.38,275,21.15,90.8,328,25.23,0,0,0,0
Steven Milardovich,12,8,0.67,14,1.17,22,1.83,26,2.17,145,12.08,90.1,281,23.42,0,0,0,0
Nate Page,13,9,0.69,9,0.69,21,1.62,28,2.15,61,4.69,84.7,255,19.62,0,0,0,0
Trevor Purdy,14,17,1.21,11,0.79,11,0.79,30,2.14,69,4.93,89.6,232,16.57,0,0,0,0
Tyler Bacon,11,15,1.36,9,0.82,8,0.73,23,2.09,111,10.09,94.1,253,23.0,0,0,0,0
Dominic Leggio,14,12,0.86,24,1.71,12,0.86,27,1.93,703,50.21,97.8,385,27.5,0,0,0,0
Nathan Bridges,11,14,1.27,13,1.18,6,0.55,20,1.82,187,17.0,94.0,222,20.18,0,0,0,0
Zeke Ivers,14,9,0.64,42,3.0,4,0.29,24,1.71,449,32.07,94.5,310,22.14,0,0,0,0
Casey Wu,11,15,1.36,3,0.27,2,0.18,18,1.64,61,5.55,98.4,160,14.55,0,0,0,0
Maxwell Hume,13,21,1.62,13,1.0,3,0.23,20,1.54,177,13.62,92.7,266,20.46,0,0,0,0
Brian Zid,2,4,2.0,0,0.0,0,0.0,3,1.5,5,2.5,100.0,15,7.5,0,0,0,0
Sam Fontaine,6,2,0.33,3,0.5,5,0.83,9,1.5,22,3.67,95.7,75,12.5,0,0,0,0
Dan Bellinger,13,2,0.15,15,1.15,7,0.54,15,1.15,122,9.38,93.8,233,17.92,0,0,0,0
Will Turner,4,4,1.0,2,0.5,1,0.25,4,1.0,47,11.75,94.0,55,13.75,0,0,0,0
Will Griffin,3,3,1.0,4,1.33,0,0.0,3,1.0,41,13.67,91.1,45,15.0,0,0,0,0
Matt Parisi,13,13,1.0,14,1.08,2,0.15,13,1.0,156,12.0,91.8,234,18.0,0,0,0,0
Jeffrey Silverman,14,7,0.5,3,0.21,8,0.57,13,0.93,52,3.71,92.9,243,17.36,0,0,0,0
Kyle Smith,5,1,0.2,2,0.4,3,0.6,4,0.8,5,1.0,83.3,55,11.0,0,0,0,0
Nick Minyen,4,2,0.5,0,0.0,1,0.25,3,0.75,4,1.0,100.0,40,10.0,0,0,0,0
Mark Slader,7,4,0.57,2,0.29,1,0.14,5,0.71,9,1.29,90.0,96,13.71,0,0,0,0
Daniel Bellissimo,5,1,0.2,0,0.0,6,1.2,3,0.6,11,2.2,78.6,61,12.2,0,0,0,0
Dave Ritchie,4,1,0.25,1,0.25,0,0.0,2,0.5,6,1.5,100.0,36,9.0,0,0,0,0
Josh Kohl,7,5,0.71,3,0.43,1,0.14,3,0.43,66,9.43,91.7,92,13.14,0,0,0,0
Kyle Rubin,3,1,0.33,0,0.0,0,0.0,1,0.33,0,0.0,0.0,27,9.0,0,0,0,0
Michael Tran,7,0,0.0,1,0.14,1,0.14,2,0.29,30,4.29,100.0,75,10.71,0,0,0,0
Ryan Slaughter,6,2,0.33,0,0.0,3,0.5,1,0.17,48,8.0,96.0,82,13.67,0,0,0,0
Kevin Smith,11,2,0.18,17,1.55,3,0.27,-10,-0.91,139,12.64,83.7,169,15.36,0,0,0,0
