Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Beau Kittredge,16,68,4.25,37,2.31,26,1.63,95,5.94,401,25.06,92.4,451,28.19,0,0,0,0
Simon Higgins,13,46,3.54,38,2.92,8,0.62,65,5.0,186,14.31,88.6,321,24.69,0,0,0,0
Marcelo Sanchez,17,38,2.24,46,2.71,17,1.0,69,4.06,326,19.18,92.1,450,26.47,0,0,0,0
Christian Johnson,11,29,2.64,29,2.64,8,0.73,41,3.73,204,18.55,90.7,278,25.27,0,0,0,0
Greg Cohen,13,26,2.0,15,1.15,14,1.08,46,3.54,88,6.77,90.7,277,21.31,0,0,0,0
Sean Ham,16,51,3.19,9,0.56,2,0.13,53,3.31,140,8.75,96.6,295,18.44,0,0,0,0
Ashlin Joye,12,15,1.25,45,3.75,11,0.92,35,2.92,490,40.83,93.7,327,27.25,0,0,0,0
Russell Wynne,10,14,1.4,9,0.9,15,1.5,28,2.8,172,17.2,94.5,206,20.6,0,0,0,0
Chuck Cao,12,12,1.0,26,2.17,5,0.42,26,2.17,329,27.42,95.6,295,24.58,0,0,0,0
Kelly Van Arsdale,10,11,1.1,5,0.5,6,0.6,15,1.5,42,4.2,87.5,156,15.6,0,0,0,0
Matthew Crawford,12,8,0.67,11,0.92,5,0.42,17,1.42,51,4.25,87.9,169,14.08,0,0,0,0
Tyler Grant,13,9,0.69,15,1.15,9,0.69,17,1.31,88,6.77,85.4,254,19.54,0,0,0,0
Cassidy Rasmussen,12,22,1.83,18,1.5,6,0.5,15,1.25,411,34.25,93.4,329,27.42,0,0,0,0
Kevin Smith,17,4,0.24,35,2.06,9,0.53,21,1.24,299,17.59,91.7,324,19.06,0,0,0,0
Adam Brown,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0.0,7,7.0,0,0,0,0
Brett Petersen,13,10,0.77,4,0.31,10,0.77,12,0.92,54,4.15,81.8,174,13.38,0,0,0,0
Matthew Natali,11,5,0.45,2,0.18,5,0.45,10,0.91,32,2.91,94.1,127,11.55,0,0,0,0
Seth Reinhardt,8,4,0.5,1,0.13,2,0.25,7,0.88,15,1.88,100.0,86,10.75,0,0,0,0
Jordan Marcy,15,5,0.33,18,1.2,5,0.33,13,0.87,368,24.53,96.3,291,19.4,0,0,0,0
Matt Jaffe,12,3,0.25,5,0.42,6,0.5,10,0.83,53,4.42,93.0,175,14.58,0,0,0,0
Ethan Falat,8,4,0.5,3,0.38,3,0.38,5,0.63,22,2.75,84.6,112,14.0,0,0,0,0
Justin Norden,9,5,0.56,13,1.44,3,0.33,5,0.56,209,23.22,93.3,200,22.22,0,0,0,0
Kevin Cocks,14,9,0.64,8,0.57,5,0.36,5,0.36,76,5.43,85.4,229,16.36,0,0,0,0
Lucas Dillow,7,4,0.57,3,0.43,1,0.14,2,0.29,25,3.57,80.6,89,12.71,0,0,0,0
Sonny Zaccaro,13,1,0.08,8,0.62,2,0.15,2,0.15,147,11.31,94.8,210,16.15,0,0,0,0
Scott Roeder,3,2,0.67,1,0.33,0,0.0,0,0.0,32,10.67,94.1,46,15.33,0,0,0,0
Xtian Guerrero,1,1,1.0,2,2.0,0,0.0,0,0.0,9,9.0,81.8,24,24.0,0,0,0,0
Ariel Klevecz,6,0,0.0,0,0.0,0,0.0,-1,-0.17,11,1.83,100.0,78,13.0,0,0,0,0
Chris Farina,12,1,0.08,2,0.17,1,0.08,-6,-0.5,29,2.42,74.4,153,12.75,0,0,0,0
