Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Jordan Kerr,9,19,2.11,19,2.11,13,1.44,34,3.78,245,27.22,95.0,217,24.11,1498,166,2343,260
Keenan Laurence,9,20,2.22,17,1.89,8,0.89,32,3.56,104,11.56,90.4,157,17.44,1702,189,967,107
Jace Bruner,4,8,2.0,0,0.0,5,1.25,13,3.25,11,2.75,100.0,39,9.75,374,94,8,2
Shane Earley,8,17,2.13,6,0.75,5,0.63,23,2.88,52,6.5,92.9,130,16.25,1010,126,367,46
Andrew Moore,9,21,2.33,14,1.56,5,0.56,23,2.56,137,15.22,90.1,187,20.78,1778,198,812,90
Sawyer Thompson,9,16,1.78,22,2.44,6,0.67,23,2.56,124,13.78,87.3,194,21.56,2035,226,1121,125
Jake Thorne,7,8,1.14,6,0.86,7,1.0,16,2.29,69,9.86,95.8,114,16.29,645,92,513,73
Kevin Tien,7,5,0.71,6,0.86,7,1.0,14,2.0,22,3.14,84.6,100,14.29,391,56,95,14
Marcelo Sanchez,4,6,1.5,7,1.75,4,1.0,8,2.0,69,17.25,92.0,83,20.75,639,160,623,156
Jacob Miller,8,8,1.0,2,0.25,7,0.88,13,1.63,31,3.88,96.9,117,14.63,608,76,108,14
Jackson Stearns,2,1,0.5,2,1.0,2,1.0,3,1.5,7,3.5,77.8,21,10.5,154,77,86,43
Mark Lin,2,2,1.0,6,3.0,1,0.5,3,1.5,58,29.0,90.6,45,22.5,293,147,666,333
Munis Thahir,10,10,1.0,8,0.8,3,0.3,14,1.4,49,4.9,94.2,147,14.7,806,81,233,23
Justin Norden,8,7,0.88,32,4.0,2,0.25,11,1.38,330,41.25,92.2,172,21.5,884,111,2577,322
Chris Lung,6,0,0.0,7,1.17,5,0.83,7,1.17,60,10.0,92.3,98,16.33,-64,-11,720,120
Brandon Fein,8,5,0.63,1,0.13,5,0.63,9,1.13,24,3.0,92.3,105,13.13,201,25,76,10
Ryan Sheppard,2,2,1.0,0,0.0,0,0.0,2,1.0,1,0.5,100.0,13,6.5,42,21,1,1
Glenn Wysen,1,0,0.0,1,1.0,0,0.0,1,1.0,10,10.0,100.0,14,14.0,16,16,69,69
Steven Chang,8,7,0.88,8,1.0,0,0.0,8,1.0,127,15.88,94.8,103,12.88,375,47,1020,128
Joe Thompson,1,1,1.0,0,0.0,0,0.0,1,1.0,2,2.0,100.0,7,7.0,29,29,19,19
Evan Magsig,6,3,0.5,2,0.33,3,0.5,5,0.83,33,5.5,91.7,69,11.5,304,51,42,7
Matthew Crawford,8,0,0.0,9,1.13,2,0.25,6,0.75,80,10.0,95.2,105,13.13,172,22,514,64
Ben Levinsky,7,2,0.29,3,0.43,5,0.71,5,0.71,36,5.14,90.0,99,14.14,305,44,142,20
Colin Grant,7,3,0.43,3,0.43,3,0.43,4,0.57,30,4.29,96.8,83,11.86,393,56,107,15
Max Williams,8,3,0.38,0,0.0,4,0.5,3,0.38,7,0.88,87.5,109,13.63,187,23,42,5
Scott Xu,3,5,1.67,1,0.33,2,0.67,1,0.33,55,18.33,91.7,51,17.0,173,58,292,97
Alex Pien,6,4,0.67,0,0.0,2,0.33,2,0.33,10,1.67,71.4,55,9.17,128,21,67,11
Skylohr Taylor,5,1,0.2,1,0.2,0,0.0,1,0.2,15,3.0,93.8,47,9.4,67,13,26,5
Matthew Kissmann,10,6,0.6,8,0.8,2,0.2,2,0.2,222,22.2,94.5,202,20.2,3,0,1121,112
Rafael Castro,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,11,11.0,0,0,0,0
Ben Petrowski,2,1,0.5,0,0.0,0,0.0,0,0.0,5,2.5,100.0,19,9.5,73,37,-40,-20
Phil Chang,5,1,0.2,2,0.4,1,0.2,0,0.0,24,4.8,85.7,57,11.4,37,7,151,30
Benjamin Sokolowsky,4,0,0.0,2,0.5,0,0.0,-1,-0.25,42,10.5,93.3,41,10.25,-36,-9,320,80
Satoru Ishii,3,0,0.0,0,0.0,0,0.0,-3,-1.0,5,1.67,83.3,24,8.0,0,0,68,23
Ken Noh,2,0,0.0,0,0.0,0,0.0,-5,-2.5,20,10.0,83.3,17,8.5,18,9,122,61
