Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Mark Burton,12,36,3.0,81,6.75,5,0.42,88,7.33,326,27.17,91.6,319,26.58,0,0,0,0
Khalif El-Salaam,12,29,2.42,38,3.17,12,1.0,62,5.17,240,20.0,94.5,378,31.5,0,0,0,0
Brad Houser,14,46,3.29,31,2.21,6,0.43,65,4.64,208,14.86,94.5,368,26.29,0,0,0,0
Donnie Clark,5,17,3.4,8,1.6,4,0.8,21,4.2,49,9.8,87.5,109,21.8,0,0,0,0
Matt Russell,2,3,1.5,3,1.5,4,2.0,8,4.0,41,20.5,95.3,44,22.0,0,0,0,0
Evan Klein,6,8,1.33,14,2.33,4,0.67,20,3.33,54,9.0,91.5,133,22.17,0,0,0,0
Reed Hendrickson,10,24,2.4,3,0.3,8,0.8,25,2.5,62,6.2,89.9,173,17.3,0,0,0,0
John Randolph,13,19,1.46,16,1.23,8,0.62,28,2.15,300,23.08,95.2,280,21.54,0,0,0,0
Aldous Root,7,14,2.0,4,0.57,0,0.0,14,2.0,50,7.14,96.2,142,20.29,0,0,0,0
Ben Snell,1,1,1.0,3,3.0,1,1.0,2,2.0,25,25.0,92.6,24,24.0,0,0,0,0
Sam Harkness,3,3,1.0,1,0.33,2,0.67,6,2.0,23,7.67,100.0,47,15.67,0,0,0,0
Mario O'Brien,3,1,0.33,7,2.33,1,0.33,6,2.0,129,43.0,97.7,72,24.0,0,0,0,0
Bryson Simon-Fox,11,22,2.0,10,0.91,6,0.55,18,1.64,117,10.64,88.6,249,22.64,0,0,0,0
Adam Simon,8,9,1.13,20,2.5,1,0.13,13,1.63,274,34.25,94.2,177,22.13,0,0,0,0
Tommy Li,12,17,1.42,17,1.42,8,0.67,19,1.58,198,16.5,90.4,282,23.5,0,0,0,0
John Doherty,13,12,0.92,3,0.23,13,1.0,20,1.54,40,3.08,83.3,225,17.31,0,0,0,0
Andrew Lynch,11,5,0.45,7,0.64,6,0.55,16,1.45,75,6.82,97.4,176,16.0,0,0,0,0
Will Herold,4,1,0.25,4,1.0,1,0.25,5,1.25,18,4.5,94.7,65,16.25,0,0,0,0
Michael Cavenaugh,4,3,0.75,2,0.5,1,0.25,5,1.25,21,5.25,100.0,65,16.25,0,0,0,0
Will Chen,4,3,0.75,1,0.25,6,1.5,5,1.25,136,34.0,97.1,86,21.5,0,0,0,0
Cam Bailey,13,20,1.54,6,0.46,9,0.69,16,1.23,148,11.38,90.2,316,24.31,0,0,0,0
Tianchuan Yen,5,7,1.4,1,0.2,0,0.0,6,1.2,22,4.4,95.7,78,15.6,0,0,0,0
Robbie Farwell,4,2,0.5,6,1.5,0,0.0,4,1.0,31,7.75,88.6,69,17.25,0,0,0,0
John Stacey,1,0,0.0,1,1.0,1,1.0,1,1.0,3,3.0,75.0,24,24.0,0,0,0,0
Ben Beehner,11,6,0.55,2,0.18,5,0.45,10,0.91,38,3.45,95.0,166,15.09,0,0,0,0
Henry Phan,10,8,0.8,17,1.7,6,0.6,8,0.8,284,28.4,93.7,226,22.6,0,0,0,0
Zach Jackson,7,4,0.57,2,0.29,2,0.29,5,0.71,6,0.86,75.0,71,10.14,0,0,0,0
Xtehn Titcomb,7,2,0.29,5,0.71,1,0.14,5,0.71,35,5.0,92.1,86,12.29,0,0,0,0
Daniel Montoya,6,3,0.5,0,0.0,1,0.17,4,0.67,9,1.5,100.0,70,11.67,0,0,0,0
Zhi Chen,4,0,0.0,3,0.75,0,0.0,2,0.5,21,5.25,95.5,50,12.5,0,0,0,0
Sam Pickel,10,3,0.3,11,1.1,4,0.4,3,0.3,83,8.3,85.6,166,16.6,0,0,0,0
Alex Duffel,14,7,0.5,7,0.5,2,0.14,1,0.07,255,18.21,94.8,296,21.14,0,0,0,0
Mitch Kulczak,5,2,0.4,1,0.2,2,0.4,-1,-0.2,52,10.4,91.2,83,16.6,0,0,0,0
Zack Smith,4,1,0.25,1,0.25,2,0.5,-1,-0.25,21,5.25,80.8,64,16.0,0,0,0,0
Jesse Bolton,7,3,0.43,7,1.0,3,0.43,-2,-0.29,81,11.57,85.3,121,17.29,0,0,0,0
