Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Zach Sabin,7,17,2.43,8,1.14,14,2.0,37,5.29,59,8.43,98.3,172,24.57,0,0,0,0
Jay Boychuk,11,42,3.82,29,2.64,5,0.45,58,5.27,280,25.45,95.9,270,24.55,0,0,0,0
Khalif El-Salaam,10,16,1.6,30,3.0,10,1.0,45,4.5,155,15.5,93.4,268,26.8,0,0,0,0
Brad Houser,8,29,3.63,18,2.25,3,0.38,35,4.38,163,20.38,92.1,193,24.13,0,0,0,0
Peter Geertz-Larson,8,30,3.75,5,0.63,1,0.13,31,3.88,52,6.5,91.2,146,18.25,0,0,0,0
Henry Phan,7,9,1.29,20,2.86,5,0.71,24,3.43,323,46.14,97.3,172,24.57,0,0,0,0
Henry Schneider,3,2,0.67,3,1.0,3,1.0,8,2.67,26,8.67,100.0,49,16.33,0,0,0,0
Shane Worthington,10,18,1.8,3,0.3,9,0.9,25,2.5,50,5.0,92.6,203,20.3,0,0,0,0
Mark Burton,8,7,0.88,38,4.75,1,0.13,17,2.13,343,42.88,92.7,194,24.25,0,0,0,0
Sam Cook,4,4,1.0,3,0.75,1,0.25,6,1.5,25,6.25,92.6,59,14.75,0,0,0,0
Jack Brown,7,10,1.43,1,0.14,5,0.71,10,1.43,29,4.14,85.3,117,16.71,0,0,0,0
Ryan Segal,5,4,0.8,4,0.8,1,0.2,7,1.4,23,4.6,95.8,46,9.2,0,0,0,0
John Quandt,3,4,1.33,0,0.0,1,0.33,4,1.33,30,10.0,96.8,48,16.0,0,0,0,0
Bryson Simon-Fox,8,7,0.88,7,0.88,4,0.5,10,1.25,121,15.13,94.5,164,20.5,0,0,0,0
Zhi Chen,6,5,0.83,4,0.67,3,0.5,7,1.17,38,6.33,88.4,92,15.33,0,0,0,0
Alex Duffel,9,5,0.56,5,0.56,2,0.22,10,1.11,101,11.22,99.0,147,16.33,0,0,0,0
Marc Munoz,11,8,0.73,12,1.09,7,0.64,12,1.09,153,13.91,91.6,232,21.09,0,0,0,0
Kayhee Fong,3,2,0.67,2,0.67,0,0.0,3,1.0,16,5.33,100.0,42,14.0,0,0,0,0
Walter Kasprzycki,7,1,0.14,5,0.71,2,0.29,6,0.86,20,2.86,95.2,114,16.29,0,0,0,0
June Rapisura,11,3,0.27,10,0.91,4,0.36,9,0.82,144,13.09,94.7,208,18.91,0,0,0,0
Dennis Casio,11,2,0.18,16,1.45,5,0.45,8,0.73,269,24.45,95.1,247,22.45,0,0,0,0
Nick Mahan,11,7,0.64,1,0.09,5,0.45,6,0.55,33,3.0,86.8,196,17.82,0,0,0,0
Jesse Bolton,4,0,0.0,3,0.75,3,0.75,2,0.5,30,7.5,90.9,60,15.0,0,0,0,0
Jacob Komenda,2,0,0.0,0,0.0,1,0.5,1,0.5,2,1.0,100.0,30,15.0,0,0,0,0
Victor Taggart,8,6,0.75,1,0.13,0,0.0,3,0.38,14,1.75,77.8,127,15.88,0,0,0,0
Charlie Mercer,6,3,0.5,3,0.5,0,0.0,1,0.17,26,4.33,86.7,97,16.17,0,0,0,0
Kodi Smart,8,6,0.75,17,2.13,0,0.0,1,0.13,214,26.75,92.2,182,22.75,0,0,0,0
William Coffin,10,7,0.7,5,0.5,2,0.2,-2,-0.2,137,13.7,92.6,204,20.4,0,0,0,0
Charlie Eide,4,0,0.0,0,0.0,0,0.0,-1,-0.25,12,3.0,92.3,46,11.5,0,0,0,0
Xtehn Titcomb,4,0,0.0,1,0.25,0,0.0,-1,-0.25,13,3.25,86.7,43,10.75,0,0,0,0
Thomas Lassetter,10,6,0.6,8,0.8,1,0.1,-3,-0.3,258,25.8,93.8,180,18.0,0,0,0,0
Stephanie Lim,4,1,0.25,0,0.0,1,0.25,-3,-0.75,73,18.25,93.6,56,14.0,0,0,0,0
