Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Mischa Freystaetter,12,60,5.0,36,3.0,10,0.83,85,7.08,247,20.58,95.4,309,25.75,0,0,0,0
Matt Bode,8,20,2.5,19,2.38,5,0.63,39,4.88,244,30.5,98.0,221,27.63,0,0,0,0
Stephen Poulos,7,13,1.86,32,4.57,1,0.14,26,3.71,255,36.43,93.1,179,25.57,0,0,0,0
Michael Hickson,14,34,2.43,31,2.21,10,0.71,50,3.57,304,21.71,93.0,351,25.07,0,0,0,0
Travis Catron,10,29,2.9,15,1.5,3,0.3,35,3.5,162,16.2,94.2,240,24.0,0,0,0,0
Cole Sullivan,13,29,2.23,55,4.23,8,0.62,44,3.38,348,26.77,88.1,316,24.31,0,0,0,0
Jeremy Langdon,2,4,2.0,4,2.0,2,1.0,6,3.0,29,14.5,87.9,32,16.0,0,0,0,0
Chris LaRocque,4,6,1.5,10,2.5,4,1.0,11,2.75,64,16.0,90.1,104,26.0,0,0,0,0
Avery Van Brussel,15,33,2.2,19,1.27,7,0.47,41,2.73,170,11.33,94.4,384,25.6,0,0,0,0
Bradley Seuntjens,7,4,0.57,2,0.29,10,1.43,15,2.14,26,3.71,100.0,121,17.29,0,0,0,0
Alton Gaines,10,17,1.7,10,1.0,7,0.7,18,1.8,77,7.7,84.6,204,20.4,0,0,0,0
Jeffrey Walker,15,18,1.2,5,0.33,10,0.67,27,1.8,52,3.47,94.5,264,17.6,0,0,0,0
Nicholas Hunter,11,14,1.27,4,0.36,5,0.45,19,1.73,47,4.27,92.2,135,12.27,0,0,0,0
Ryan Chard,10,10,1.0,7,0.7,4,0.4,16,1.6,54,5.4,93.1,160,16.0,0,0,0,0
Lars Hanselman,3,4,1.33,0,0.0,1,0.33,4,1.33,15,5.0,93.8,43,14.33,0,0,0,0
Andrew Carleton,15,15,1.0,7,0.47,5,0.33,18,1.2,105,7.0,95.5,303,20.2,0,0,0,0
Andrew McKelvey,6,3,0.5,4,0.67,3,0.5,7,1.17,17,2.83,89.5,98,16.33,0,0,0,0
Brandon Perales,14,5,0.36,24,1.71,11,0.79,16,1.14,313,22.36,94.0,323,23.07,0,0,0,0
Jared Brody,8,10,1.25,4,0.5,2,0.25,9,1.13,24,3.0,82.8,112,14.0,0,0,0,0
Quint Wharton,12,7,0.58,10,0.83,4,0.33,13,1.08,76,6.33,92.7,191,15.92,0,0,0,0
Stephen Ierardi,15,8,0.53,12,0.8,10,0.67,16,1.07,114,7.6,91.9,248,16.53,0,0,0,0
Bryce Carleton,1,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,100.0,11,11.0,0,0,0,0
Bobby Patterson,7,2,0.29,2,0.29,5,0.71,5,0.71,42,6.0,91.3,118,16.86,0,0,0,0
Zach Floyd,9,3,0.33,2,0.22,1,0.11,6,0.67,34,3.78,100.0,101,11.22,0,0,0,0
John Best,14,9,0.64,23,1.64,11,0.79,9,0.64,373,26.64,92.1,298,21.29,0,0,0,0
Dustin Travaglini,13,1,0.08,15,1.15,12,0.92,6,0.46,227,17.46,91.2,250,19.23,0,0,0,0
Andrew Roca,7,1,0.14,10,1.43,2,0.29,2,0.29,102,14.57,91.1,105,15.0,0,0,0,0
Corey McCall,4,2,0.5,0,0.0,0,0.0,1,0.25,9,2.25,100.0,34,8.5,0,0,0,0
Elijah Grady,4,1,0.25,0,0.0,1,0.25,1,0.25,13,3.25,92.9,52,13.0,0,0,0,0
Brett Egger,6,3,0.5,4,0.67,2,0.33,1,0.17,96,16.0,93.2,103,17.17,0,0,0,0
Joshua Shepard,8,2,0.25,0,0.0,2,0.25,-1,-0.13,28,3.5,87.5,76,9.5,0,0,0,0
Dan Jakob,2,0,0.0,1,0.5,0,0.0,-1,-0.5,11,5.5,91.7,29,14.5,0,0,0,0
