Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Unmil Patel,7,14,2.0,5,0.71,5,0.71,22,3.14,40,5.71,95.2,130,18.57,868,124,244,35
John Wodach,1,3,3.0,2,2.0,1,1.0,3,3.0,22,22.0,95.7,29,29.0,198,198,111,111
Andrew Roney,6,10,1.67,26,4.33,9,1.5,15,2.5,265,44.17,90.1,135,22.5,836,139,2246,374
Matt Bode,5,7,1.4,4,0.8,4,0.8,12,2.4,62,12.4,96.9,91,18.2,529,106,374,75
Ryan Chard,8,16,2.0,3,0.38,9,1.13,17,2.13,77,9.63,90.6,158,19.75,1163,145,275,34
Tanner Repasky,1,0,0.0,3,3.0,0,0.0,2,2.0,12,12.0,100.0,18,18.0,81,81,67,67
Sean Plunkett,9,12,1.33,4,0.44,8,0.89,17,1.89,76,8.44,92.7,187,20.78,912,101,444,49
Andrew Cohen,7,7,1.0,6,0.86,1,0.14,12,1.71,179,25.57,98.9,125,17.86,673,96,897,128
Logan Diehl,6,5,0.83,0,0.0,5,0.83,9,1.5,12,2.0,92.3,82,13.67,252,42,-8,-1
Eric Sjostrom,3,5,1.67,3,1.0,1,0.33,4,1.33,75,25.0,94.9,56,18.67,205,68,767,256
Billy O'Bryan,9,19,2.11,17,1.89,8,0.89,11,1.22,242,26.89,89.0,218,24.22,1573,175,1620,180
Tannon Hedges,7,11,1.57,6,0.86,1,0.14,8,1.14,91,13.0,92.9,110,15.71,903,129,526,75
Adam Vinson,7,12,1.71,0,0.0,2,0.29,7,1.0,54,7.71,90.0,121,17.29,1026,147,91,13
Robert Alongi,3,1,0.33,1,0.33,2,0.67,3,1.0,8,2.67,88.9,34,11.33,87,29,57,19
Stephen Poulos,6,2,0.33,12,2.0,2,0.33,5,0.83,83,13.83,89.2,74,12.33,185,31,1120,187
Jacob Clary,9,3,0.33,0,0.0,5,0.56,6,0.67,2,0.22,50.0,81,9.0,164,18,-8,-1
Alex Guerrero,5,1,0.2,2,0.4,0,0.0,3,0.6,14,2.8,100.0,69,13.8,73,15,106,21
Tre Hodge,2,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0.0,20,10.0,0,0,0,0
Frank Weng,2,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,100.0,14,7.0,4,2,14,7
Jorge Delgado,2,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0.0,16,8.0,5,3,0,0
Michael Arbutine,9,4,0.44,2,0.22,4,0.44,4,0.44,28,3.11,87.5,149,16.56,453,50,171,19
Cody Coates,3,2,0.67,0,0.0,0,0.0,1,0.33,3,1.0,100.0,27,9.0,133,44,-1,0
Hector Ordonez,3,0,0.0,1,0.33,1,0.33,1,0.33,5,1.67,83.3,21,7.0,65,22,-10,-3
Matteo Focchi,3,0,0.0,0,0.0,1,0.33,1,0.33,3,1.0,100.0,17,5.67,27,9,14,5
Tim Lootens,6,2,0.33,0,0.0,2,0.33,1,0.17,9,1.5,75.0,64,10.67,27,5,55,9
Clayton Partlow,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,5.0,0,0,0,0
Javier Yañez,1,0,0.0,1,1.0,0,0.0,0,0.0,27,27.0,96.4,17,17.0,8,8,232,232
Bradley Seuntjens,5,3,0.6,0,0.0,3,0.6,0,0.0,54,10.8,91.5,88,17.6,670,134,86,17
BJ Barrett,1,0,0.0,1,1.0,0,0.0,0,0.0,6,6.0,100.0,16,16.0,106,106,2,2
Anish Indhupuru,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,11,11.0,0,0,0,0
Andre Bordelon,2,0,0.0,0,0.0,0,0.0,0,0.0,4,2.0,100.0,17,8.5,34,17,-2,-1
JC Cox,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,10,10.0,-6,-6,34,34
Caleb Posey,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,13,13.0,11,11,10,10
Tyler Hebert,6,1,0.17,0,0.0,1,0.17,-1,-0.17,28,4.67,93.3,73,12.17,82,14,171,29
Hayden Wachob,2,0,0.0,0,0.0,1,0.5,-1,-0.5,2,1.0,50.0,17,8.5,47,24,-15,-8
Ryan Hiser,3,1,0.33,3,1.0,0,0.0,-2,-0.67,39,13.0,86.7,38,12.67,255,85,355,118
Tony Lopez,3,3,1.0,1,0.33,0,0.0,-2,-0.67,32,10.67,88.9,50,16.67,359,120,73,24
Austin Gaines,3,0,0.0,0,0.0,1,0.33,-2,-0.67,13,4.33,86.7,29,9.67,7,2,95,32
Bobby Ley,7,2,0.29,37,5.29,3,0.43,-5,-0.71,345,49.29,88.5,181,25.86,1219,174,2556,365
Jaime Perez,1,0,0.0,0,0.0,0,0.0,-1,-1.0,0,0.0,0.0,14,14.0,6,6,0,0
Dustin Travaglini,9,2,0.22,7,0.78,2,0.22,-9,-1.0,101,11.22,83.5,145,16.11,111,12,825,92
David Witte,2,0,0.0,0,0.0,0,0.0,-2,-1.0,5,2.5,83.3,15,7.5,44,22,41,21
Jacob Dummeldinger,2,1,0.5,0,0.0,0,0.0,-3,-1.5,14,7.0,93.3,36,18.0,279,140,42,21
