Player,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Mark Lloyd,18,51,2.83,29,1.61,35,1.94,89,4.94,219,12.17,90.9,194,10.78,0,0,0,0
Cameron Harris,18,41,2.28,52,2.89,19,1.06,80,4.44,210,11.67,89.4,210,11.67,0,0,0,0
Jeff Lindquist,18,27,1.5,40,2.22,29,1.61,70,3.89,166,9.22,87.8,169,9.39,0,0,0,0
Isaiah Masek-Kelly,18,36,2.0,33,1.83,18,1.0,64,3.56,142,7.89,90.4,173,9.61,0,0,0,0
Steve Armitage,18,35,1.94,11,0.61,18,1.0,56,3.11,62,3.44,93.9,197,10.94,0,0,0,0
Ricky Szeto,18,48,2.67,4,0.22,12,0.67,54,3.0,32,1.78,88.9,181,10.06,0,0,0,0
Calum Mackenzie,18,21,1.17,29,1.61,10,0.56,45,2.5,150,8.33,95.5,199,11.06,0,0,0,0
Geoff Powell,18,31,1.72,11,0.61,17,0.94,44,2.44,160,8.89,94.7,220,12.22,0,0,0,0
Andrew Kubinec,18,16,0.89,24,1.33,19,1.06,37,2.06,76,4.22,79.2,259,14.39,0,0,0,0
Adrian Yearwood,18,7,0.39,21,1.17,11,0.61,31,1.72,192,10.67,96.5,111,6.17,0,0,0,0
Thomson McKnight,18,12,0.67,42,2.33,14,0.78,30,1.67,521,28.94,93.9,295,16.39,0,0,0,0
Kevin Horgan,18,16,0.89,6,0.33,8,0.44,28,1.56,57,3.17,98.3,109,6.06,0,0,0,0
Trevor Henry,18,15,0.83,22,1.22,6,0.33,28,1.56,92,5.11,92.9,250,13.89,0,0,0,0
Dan Dantzig,18,11,0.61,27,1.5,7,0.39,26,1.44,220,12.22,95.2,153,8.5,0,0,0,0
Michael Jones,18,8,0.44,18,1.0,17,0.94,26,1.44,290,16.11,95.7,340,18.89,0,0,0,0
Eric Blanchard,18,17,0.94,9,0.5,6,0.33,25,1.39,45,2.5,93.8,133,7.39,0,0,0,0
Phil Watanabe,18,16,0.89,9,0.5,11,0.61,23,1.28,96,5.33,90.6,135,7.5,0,0,0,0
Gord Harrison,18,5,0.28,21,1.17,26,1.44,22,1.22,240,13.33,89.2,252,14.0,0,0,0,0
Willem Maessen,18,10,0.56,14,0.78,5,0.28,19,1.06,44,2.44,89.8,106,5.89,0,0,0,0
Ryan Keyfitz,18,11,0.61,22,1.22,6,0.33,17,0.94,170,9.44,89.5,144,8.0,0,0,0,0
Matt Penman,18,11,0.61,2,0.11,4,0.22,15,0.83,17,0.94,94.4,61,3.39,0,0,0,0
Liam Bradford,18,11,0.61,5,0.28,2,0.11,14,0.78,75,4.17,96.2,134,7.44,0,0,0,0
Eamon Pinto,18,8,0.44,2,0.11,5,0.28,13,0.72,11,0.61,84.6,77,4.28,0,0,0,0
Nima Mostaghim,18,4,0.22,8,0.44,8,0.44,13,0.72,38,2.11,92.7,104,5.78,0,0,0,0
Dan Hassell,18,7,0.39,2,0.11,3,0.17,11,0.61,23,1.28,95.8,121,6.72,0,0,0,0
Sachin Raina,18,4,0.22,17,0.94,6,0.33,6,0.33,242,13.44,93.1,187,10.39,0,0,0,0
