Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Steve Armitage,12,48,4.0,24,2.0,7,0.58,62,5.17,110,9.17,89.4,228,19.0,0,0,0,0
Mike Mackenzie,1,1,1.0,1,1.0,3,3.0,5,5.0,10,10.0,100.0,25,25.0,0,0,0,0
Mark Lloyd,10,26,2.6,20,2.0,10,1.0,41,4.1,183,18.3,92.9,241,24.1,0,0,0,0
Cameron Harris,11,29,2.64,25,2.27,11,1.0,44,4.0,191,17.36,91.4,251,22.82,0,0,0,0
Jonathan Martin,8,17,2.13,13,1.63,13,1.63,28,3.5,50,6.25,82.0,154,19.25,0,0,0,0
Will Neff,5,7,1.4,10,2.0,9,1.8,16,3.2,70,14.0,92.1,126,25.2,0,0,0,0
Geoff Powell,8,16,2.0,7,0.88,5,0.63,23,2.88,52,6.5,96.3,137,17.13,0,0,0,0
Nathan Hirst,14,17,1.21,24,1.71,14,1.0,40,2.86,265,18.93,95.3,241,17.21,0,0,0,0
Jacky Hau,14,12,0.86,7,0.5,29,2.07,40,2.86,73,5.21,93.6,238,17.0,0,0,0,0
Jonathan Edwards,12,17,1.42,4,0.33,20,1.67,34,2.83,49,4.08,90.7,200,16.67,0,0,0,0
Isaiah Masek-Kelly,14,34,2.43,23,1.64,14,1.0,38,2.71,262,18.71,91.6,314,22.43,0,0,0,0
Justin Foord,7,10,1.43,2,0.29,15,2.14,19,2.71,52,7.43,91.2,132,18.86,0,0,0,0
Iain Mackenzie,9,13,1.44,3,0.33,10,1.11,24,2.67,26,2.89,96.3,129,14.33,0,0,0,0
Rumi Tejpar,7,14,2.0,8,1.14,1,0.14,18,2.57,63,9.0,94.0,106,15.14,0,0,0,0
Jason Duiella,2,3,1.5,0,0.0,3,1.5,5,2.5,4,2.0,80.0,36,18.0,0,0,0,0
Andrew Carroll,15,15,1.0,16,1.07,11,0.73,35,2.33,109,7.27,94.0,244,16.27,0,0,0,0
Bretton Tan,7,10,1.43,2,0.29,8,1.14,15,2.14,34,4.86,91.9,110,15.71,0,0,0,0
Adrian Yearwood,15,21,1.4,34,2.27,5,0.33,31,2.07,370,24.67,93.2,316,21.07,0,0,0,0
Greg Ellis,12,13,1.08,11,0.92,8,0.67,24,2.0,68,5.67,93.2,211,17.58,0,0,0,0
Rusty Ingold-Smith,5,5,1.0,8,1.6,2,0.4,10,2.0,71,14.2,93.4,97,19.4,0,0,0,0
Jeff Lindquist,15,18,1.2,42,2.8,1,0.07,29,1.93,285,19.0,92.8,308,20.53,0,0,0,0
Alex Simmons,7,5,0.71,24,3.43,3,0.43,13,1.86,197,28.14,92.1,179,25.57,0,0,0,0
Thomson McKnight,13,12,0.92,31,2.38,4,0.31,23,1.77,451,34.69,94.9,282,21.69,0,0,0,0
Andrew Watts,2,3,1.5,0,0.0,0,0.0,3,1.5,8,4.0,100.0,27,13.5,0,0,0,0
Gord Harrison,11,4,0.36,16,1.45,10,0.91,16,1.45,115,10.45,89.1,170,15.45,0,0,0,0
Trevor Henry,10,14,1.4,6,0.6,1,0.1,13,1.3,45,4.5,91.8,173,17.3,0,0,0,0
Sachin Raina,10,9,0.9,8,0.8,4,0.4,13,1.3,210,21.0,96.8,175,17.5,0,0,0,0
Remi Ojo,10,7,0.7,4,0.4,8,0.8,10,1.0,23,2.3,79.3,125,12.5,0,0,0,0
Alex Vlahos,2,3,1.5,2,1.0,0,0.0,2,1.0,9,4.5,75.0,26,13.0,0,0,0,0
Ricky Szeto,1,1,1.0,0,0.0,1,1.0,1,1.0,4,4.0,80.0,23,23.0,0,0,0,0
Steven Garlok,4,1,0.25,2,0.5,2,0.5,3,0.75,13,3.25,100.0,53,13.25,0,0,0,0
Jay Boychuk,12,6,0.5,7,0.58,2,0.17,6,0.5,39,3.25,84.8,159,13.25,0,0,0,0
Jaret Meron,14,3,0.21,12,0.86,7,0.5,7,0.5,125,8.93,90.6,250,17.86,0,0,0,0
Bryan Yue,2,1,0.5,1,0.5,0,0.0,1,0.5,6,3.0,85.7,24,12.0,0,0,0,0
Anatoly Vasilyev,9,0,0.0,15,1.67,4,0.44,4,0.44,177,19.67,93.7,195,21.67,0,0,0,0
Michael Jones,6,1,0.17,1,0.17,4,0.67,0,0.0,40,6.67,88.9,80,13.33,0,0,0,0
Andrew Kubinec,1,0,0.0,0,0.0,0,0.0,-1,-1.0,4,4.0,80.0,9,9.0,0,0,0,0
Jason Huynh,2,0,0.0,1,0.5,1,0.5,-6,-3.0,14,7.0,70.0,30,15.0,0,0,0,0
