Team,G,W,L,T,PTS,PPG,PA,PAPG,OEFF,DEFF,+ / -,+/- PG,BLK,BPG,CMP,CPG,CMP %,TO,TPG
New York Empire,15,15,0,0,334,22.27,282,18.8,0.48,-0.42,588,39.2,150,10.0,3547,236.47,94.7,230,15.33
San Diego Growlers,14,11,3,0,328,23.43,292,20.86,0.46,-0.42,581,41.5,157,11.21,3404,243.14,94.8,228,16.29
Raleigh Flyers,13,10,3,0,293,22.54,255,19.62,0.39,-0.36,514,39.54,124,9.54,3197,245.92,95.0,192,14.77
Dallas Roughnecks,15,10,5,0,320,21.33,300,20.0,0.32,-0.41,550,36.67,202,13.47,3640,242.67,93.7,290,19.33
Pittsburgh Thunderbirds,14,9,5,0,298,21.29,270,19.29,0.33,-0.41,487,34.79,141,10.07,3551,253.64,94.5,249,17.79
Indianapolis AlleyCats,14,9,5,0,280,20.0,270,19.29,0.36,-0.5,450,32.14,138,9.86,3550,253.57,94.5,245,17.5
Los Angeles Aviators,13,9,4,0,306,23.54,267,20.54,0.39,-0.4,540,41.54,148,11.38,2847,219.0,94.4,207,15.92
Toronto Rush,14,8,6,0,293,20.93,271,19.36,0.33,-0.42,460,32.86,154,11.0,3240,231.43,93.4,277,19.79
Chicago Union,13,7,6,0,271,20.85,257,19.77,0.31,-0.4,446,34.31,132,10.15,3128,240.62,94.4,227,17.46
DC Breeze,13,7,6,0,281,21.62,262,20.15,0.4,-0.48,472,36.31,139,10.69,3223,247.92,94.9,226,17.38
Madison Radicals,12,6,6,0,250,20.83,222,18.5,0.31,-0.31,432,36.0,152,12.67,2718,226.5,94.2,212,17.67
Minnesota Wind Chill,12,6,6,0,261,21.75,252,21.0,0.33,-0.47,409,34.08,140,11.67,2777,231.42,92.8,253,21.08
Atlanta Hustle,12,5,7,0,246,20.5,243,20.25,0.35,-0.49,405,33.75,97,8.08,2637,219.75,94.3,183,15.25
Philadelphia Phoenix,12,4,8,0,222,18.5,249,20.75,0.19,-0.53,284,23.67,125,10.42,2625,218.75,91.6,286,23.83
Montreal Royal,12,4,8,0,238,19.83,253,21.08,0.25,-0.53,368,30.67,114,9.5,3036,253.0,94.1,222,18.5
Tampa Bay Cannons,12,4,8,0,232,19.33,263,21.92,0.18,-0.53,298,24.83,104,8.67,3049,254.08,93.3,261,21.75
San Jose Spiders,12,3,9,0,264,22.0,301,25.08,0.22,-0.55,393,32.75,98,8.17,2972,247.67,94.1,227,18.92
Austin Sol,12,3,9,0,229,19.08,254,21.17,0.16,-0.48,280,23.33,102,8.5,2768,230.67,92.5,276,23.0
Ottawa Outlaws,12,3,9,0,228,19.0,265,22.08,0.18,-0.54,289,24.08,129,10.75,2555,212.92,92.0,288,24.0
Seattle Cascades,12,2,10,0,263,21.92,306,25.5,0.24,-0.62,376,31.33,99,8.25,3232,269.33,93.8,246,20.5
Detroit Mechanix,12,0,12,0,174,14.5,277,23.08,-0.03,-0.69,130,10.83,93,7.75,2450,204.17,91.0,277,23.08
